"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37465089","filamentosus","Abalistes filamentosus Matsuura & Yoshino, 2004","BALISTIDAE","Abalistes","","filamentosus","","Valid Name","","Species","","Matsuura & Yoshino","2004","Y","ab6677d2-05e0-4578-b16e-3230f0ba3166","20140428T04:53:16.496+0000","fc2cae3f-1e9d-40b8-8660-03c6a44eb4ac","20140429T04:00:17.360+0000","8c6c0483-c9c9-4896-9aa1-0cd631cc064f","fc2cae3f-1e9d-40b8-8660-03c6a44eb4ac","","","","","","","","","","","","","","",""
"","37465011","stellatus","Abalistes stellatus (Anonymous, 1798)","BALISTIDAE","Abalistes","","stellatus","","Valid Name","","Species","","Anonymous","1798","N","7466ee78-c101-48e0-9ac0-c2d4e900ad25","20140428T04:53:16.496+0000","f27d4ace-8e5d-4686-aa37-5cdf517559aa","20140429T04:00:17.360+0000","8c6c0483-c9c9-4896-9aa1-0cd631cc064f","f27d4ace-8e5d-4686-aa37-5cdf517559aa","","","","","","","","","","","","","","",""
"","37287031","taenianotus","Ablabys taenianotus (Cuvier, 1829)","TETRAROGIDAE","Ablabys","","taenianotus","","Valid Name","","Species","","Cuvier","1829","N","71c1e0c7-bbe0-4f6f-acd9-f944a7cb4eda","20150423T08:02:11.608+0000","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","20150505T21:35:04.768+0000","f3e1f03f-ae31-423d-b650-c217c808a6d7","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","","","","","","","","","","","","","","",""
"","37235001","hians","Ablennes hians (Valenciennes, 1846)","BELONIDAE","Ablennes","","hians","","Valid Name","","Species","","Valenciennes","1846","N","ea3cc845-272c-4bcf-81e6-067399fa8b43","20170426T07:00:15.214+0000","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","20180329T02:08:16.158+0000","3aae0d57-cc9c-400f-b9ef-004582539e05","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","","","","","","","","","","","","","","",""
"","37372003","bengalensis","Abudefduf bengalensis (Bloch, 1787)","POMACENTRIDAE","Abudefduf","","bengalensis","","Valid Name","","Species","","Bloch","1787","N","1fe0c3b6-2a4e-4527-8e72-f0520fefd296","20170529T07:18:37.520+0000","9b8dd556-6274-4d3a-abdf-656209bddbd3","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9b8dd556-6274-4d3a-abdf-656209bddbd3","","","","","","","","","","","","","","",""
"","37372145","notatus","Abudefduf notatus (Day, 1870)","POMACENTRIDAE","Abudefduf","","notatus","","Valid Name","","Species","","Day","1870","N","fea4de39-4a5a-4b28-aa97-bc0a8d5c1a4a","20170512T09:48:14.907+0000","8216b685-65b4-4511-833c-cabd04ba204b","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","8216b685-65b4-4511-833c-cabd04ba204b","","","","","","","","","","","","","","",""
"","37372010","septemfasciatus","Abudefduf septemfasciatus (Cuvier, 1830)","POMACENTRIDAE","Abudefduf","","septemfasciatus","","Valid Name","","Species","","Cuvier","1830","N","8d518e38-5ca2-40d9-8591-76f5f91a11e4","20170512T09:50:41.356+0000","793331eb-edec-4b93-b6a4-e10c76836355","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","793331eb-edec-4b93-b6a4-e10c76836355","","","","","","","","","","","","","","",""
"","37372011","sexfasciatus","Abudefduf sexfasciatus (Lacépède, 1801)","POMACENTRIDAE","Abudefduf","","sexfasciatus","","Valid Name","","Species","","Lacépède","1801","N","1eb39c0b-7832-4ee9-8169-24b617929d54","20170512T09:52:19.467+0000","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
