"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37081004","affinis","Aldrovandia affinis (Günther, 1877)","HALOSAURIDAE","Aldrovandia","","affinis","","Valid Name","","Species","","Günther","1877","N","58bbd53b-7237-4069-8c85-13b00d3e64af","20180817T06:14:26.561+0000","552326a0-95a1-439b-b53f-943a3db80904","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","552326a0-95a1-439b-b53f-943a3db80904","","","","","","","","","","","","","","",""
"","37081005","phalacra","Aldrovandia phalacra (Vaillant, 1888)","HALOSAURIDAE","Aldrovandia","","phalacra","","Valid Name","","Species","","Vaillant","1888","N","253c6578-4707-4a3c-a69c-c99661bd4e47","20180802T07:37:39.659+0000","8d85b3ba-1bf3-4b56-a386-e0853536273a","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","8d85b3ba-1bf3-4b56-a386-e0853536273a","","","","","","","","","","","","","","",""
"","37114029","longiceps","Alepocephalus longiceps Lloyd, 1909","ALEPOCEPHALIDAE","Alepocephalus","","longiceps","","Valid Name","","Species","","Lloyd","1909","Y","d1f9a48e-8763-4d84-92ed-e8ffbc5166af","20160523T00:06:44.378+0000","98a63193-9343-4c6d-a678-ac4b74890046","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","98a63193-9343-4c6d-a678-ac4b74890046","","","","","","","","","","","","","","",""
"","37012002","superciliosus","Alopias superciliosus Lowe, 1841","ALOPIIDAE","Alopias","","superciliosus","","Valid Name","","Species","","Lowe","1841","Y","2e134528-d77f-477a-8b99-3661d9f6d03c","20140313T03:41:28.159+0000","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","20150715T22:47:32.147+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","","","","","","","","","","","","","","",""
"","37257001","cornuta","Anoplogaster cornuta (Valenciennes, 1833)","ANOPLOGASTRIDAE","Anoplogaster","","cornuta","","Valid Name","","Species","","Valenciennes","1833","N","5a8678a2-1a3f-4874-98c6-07fbabef20fc","20160520T07:15:08.678+0000","732817fa-bd1e-4933-b86d-5256b5185c65","20160606T05:15:12.352+0000","8928ee4e-8dcb-482b-ab38-9e63bd753497","732817fa-bd1e-4933-b86d-5256b5185c65","","","","","","","","","","","","","","",""
"","37210011","nummifer","Antennatus nummifer (Cuvier, 1817)","ANTENNARIIDAE","Antennatus","","nummifer","","Valid Name","","Species","","Cuvier","1817","N","bea15330-2dd4-4946-a253-687aae653528","20150504T06:02:04.620+0000","258b9425-4ba3-49ef-8baf-1c64fb382a63","20150625T00:28:50.961+0000","4f4d559f-f704-4cbe-aaab-036f8920734f","258b9425-4ba3-49ef-8baf-1c64fb382a63","","","","","","","","","","","","","","",""
"","37267001","rhomboidea","Antigonia rhomboidea McCulloch, 1915","CAPROIDAE","Antigonia","","rhomboidea","","Valid Name","","Species","","McCulloch","1915","Y","7332822c-e574-40eb-a67e-261be7128cac","20130204T07:03:13.361+0000","9aa896c8-369f-4759-86e7-eec4226e73b0","20140219T05:34:51.903+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","9aa896c8-369f-4759-86e7-eec4226e73b0","","","","","","","","","","","","","","",""
"","37267002","rubicunda","Antigonia rubicunda Ogilby, 1910","CAPROIDAE","Antigonia","","rubicunda","","Valid Name","","Species","","Ogilby","1910","Y","b992fd0a-a4a5-4190-877b-f9622f652203","20130204T07:05:16.661+0000","b03528fa-f212-4fb8-97d9-4eefc5b5e892","20130204T22:58:37.831+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","b03528fa-f212-4fb8-97d9-4eefc5b5e892","","","","","","","","","","","","","","",""
"","37300001","galatheae","Antipodocottus galatheae Bolin, 1952","COTTIDAE","Antipodocottus","","galatheae","","Valid Name","","Species","","Bolin","1952","Y","57c3c90c-800d-4c18-8106-633b10c0d7f4","20150421T07:47:28.566+0000","a9c71b61-8afb-4648-a284-a2d12dc4f628","20150505T21:35:04.768+0000","a6f47af4-cefc-4698-a055-9419901366d7","a9c71b61-8afb-4648-a284-a2d12dc4f628","","","","","","","","","","","","","","",""
"","37440010","capricornis","Aphanopus capricornis Parin, 1994","TRICHIURIDAE","Aphanopus","","capricornis","","Valid Name","","Species","","Parin","1994","Y","01e705fb-a0cf-48a1-b6b4-b4d2b870e0d6","20131008T23:07:52.756+0000","de71684a-8e6f-43b8-84f1-48e6d1d67402","20131008T23:07:52.756+0000","dcb74e21-5259-4a9e-9e38-bf1550778351","de71684a-8e6f-43b8-84f1-48e6d1d67402","","","","","","","","","","","","","","",""
"","37015020","australis","Apristurus australis Sato, Nakaya & Yorozu, 2008","SCYLIORHINIDAE","Apristurus","","australis","","Valid Name","","Species","","Sato, Nakaya & Yorozu","2008","Y","60997707-f75e-4548-b562-22b82e8db328","20140725T07:02:42.508+0000","bc535953-8360-49a4-9726-a400529ad8e8","20140725T07:02:42.508+0000","f4aaa359-8018-40aa-a9fd-615162870343","bc535953-8360-49a4-9726-a400529ad8e8","","","","","","","","","","","","","","",""
