"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37235001","hians","Ablennes hians (Valenciennes, 1846)","BELONIDAE","Ablennes","","hians","","Valid Name","","Species","","Valenciennes","1846","N","ea3cc845-272c-4bcf-81e6-067399fa8b43","20170426T07:00:15.214+0000","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","20180329T02:08:16.158+0000","3aae0d57-cc9c-400f-b9ef-004582539e05","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","","","","","","","","","","","","","","",""
"","37372003","bengalensis","Abudefduf bengalensis (Bloch, 1787)","POMACENTRIDAE","Abudefduf","","bengalensis","","Valid Name","","Species","","Bloch","1787","N","1fe0c3b6-2a4e-4527-8e72-f0520fefd296","20170529T07:18:37.520+0000","9b8dd556-6274-4d3a-abdf-656209bddbd3","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9b8dd556-6274-4d3a-abdf-656209bddbd3","","","","","","","","","","","","","","",""
"","37372011","sexfasciatus","Abudefduf sexfasciatus (Lacépède, 1801)","POMACENTRIDAE","Abudefduf","","sexfasciatus","","Valid Name","","Species","","Lacépède","1801","N","1eb39c0b-7832-4ee9-8169-24b617929d54","20170512T09:52:19.467+0000","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
"","37465001","brownii","Acanthaluteres brownii (Richardson, 1846)","MONACANTHIDAE","Acanthaluteres","","brownii","","Valid Name","","Species","","Richardson","1846","N","e229e96b-b53a-4676-a124-129735c154c4","20140428T04:53:16.496+0000","6e214b36-2195-4548-b2a7-6a5a608cf4bf","20140430T06:25:13.142+0000","21c9813a-ef4e-4102-9222-83a860531714","6e214b36-2195-4548-b2a7-6a5a608cf4bf","","","","","","","","","","","","","","",""
"","37311132","pardalotus","Acanthistius pardalotus Hutchins, 1981","SERRANIDAE","Acanthistius","","pardalotus","","Valid Name","","Species","","Hutchins","1981","Y","72b9a2ec-c248-45c9-953f-58d35c7422f2","20120107T07:47:32.547+0000","49580353-00ff-4c30-bd22-e1f906091055","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","49580353-00ff-4c30-bd22-e1f906091055","","","","","","","","","","","","","","",""
"","37311035","serratus","Acanthistius serratus (Cuvier, 1828)","SERRANIDAE","Acanthistius","","serratus","","Valid Name","","Species","","Cuvier","1828","N","9e790d3c-e771-4380-afb5-cf839af2ec24","20120107T07:46:18.650+0000","3e5fd618-fa6c-4855-9501-e6abbc8f3207","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","3e5fd618-fa6c-4855-9501-e6abbc8f3207","","","","","","","","","","","","","","",""
"","37380002","abbreviata","Acanthocepola abbreviata (Valenciennes, 1835)","CEPOLIDAE","Acanthocepola","","abbreviata","","Valid Name","","Species","","Valenciennes","1835","N","ff017dc1-2f61-4fea-8193-85f6b696ccf0","20161110T22:15:23.343+0000","06a5de55-c835-44fa-89bf-7a28f8266975","20161222T00:33:01.163+0000","6e703d2e-ff9f-4882-9236-f94ff177730b","06a5de55-c835-44fa-89bf-7a28f8266975","","","","","","","","","","","","","","",""
"","37353003","butcheri","Acanthopagrus butcheri (Munro, 1949)","SPARIDAE","Acanthopagrus","","butcheri","","Valid Name","","Species","","Munro","1949","N","e7410c6b-df3b-42ea-a45e-8114e5b0ebe7","20140220T04:58:35.794+0000","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","20141217T21:37:29.190+0000","4b7586dd-d293-4dc5-a5d8-de6ee8aa36da","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","","","","","","","","","","","","","","",""
