"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37081004","affinis","Aldrovandia affinis (Günther, 1877)","HALOSAURIDAE","Aldrovandia","","affinis","","Valid Name","","Species","","Günther","1877","N","58bbd53b-7237-4069-8c85-13b00d3e64af","20180817T06:14:26.561+0000","552326a0-95a1-439b-b53f-943a3db80904","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","552326a0-95a1-439b-b53f-943a3db80904","","","","","","","","","","","","","","",""
"","37081005","phalacra","Aldrovandia phalacra (Vaillant, 1888)","HALOSAURIDAE","Aldrovandia","","phalacra","","Valid Name","","Species","","Vaillant","1888","N","253c6578-4707-4a3c-a69c-c99661bd4e47","20180802T07:37:39.659+0000","8d85b3ba-1bf3-4b56-a386-e0853536273a","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","8d85b3ba-1bf3-4b56-a386-e0853536273a","","","","","","","","","","","","","","",""
"","37114013","antipodianus","Alepocephalus antipodianus (Parrott, 1948)","ALEPOCEPHALIDAE","Alepocephalus","","antipodianus","","Valid Name","","Species","","Parrott","1948","N","6692c14e-75ec-479b-84b5-e08d3373a640","20160523T00:06:44.378+0000","d2371ffd-1505-4089-861c-0ab6f362e397","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","d2371ffd-1505-4089-861c-0ab6f362e397","","","","","","","","","","","","","","",""
"","37114042","owstoni","Alepocephalus owstoni Tanaka, 1908","ALEPOCEPHALIDAE","Alepocephalus","","owstoni","","Valid Name","","Species","","Tanaka","1908","Y","50347cfc-4bbf-4edc-b25e-e371e770c610","20160523T00:06:44.378+0000","b0fb530a-492c-4d0c-9667-b3eae23b215a","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","b0fb530a-492c-4d0c-9667-b3eae23b215a","","","","","","","","","","","","","","",""
"","37114045","triangularis","Alepocephalus triangularis Okamura & Kawanishi, 1984","ALEPOCEPHALIDAE","Alepocephalus","","triangularis","","Valid Name","","Species","","Okamura & Kawanishi","1984","Y","38a5f573-e4c3-4091-87e1-d3cade153cb3","20160523T00:06:44.378+0000","8497bb9a-2003-412e-8b14-7ceeedac17c5","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","8497bb9a-2003-412e-8b14-7ceeedac17c5","","","","","","","","","","","","","","",""
"","37266004","verrucosus","Allocyttus verrucosus (Gilchrist, 1906)","OREOSOMATIDAE","Allocyttus","","verrucosus","","Valid Name","","Species","","Gilchrist","1906","N","da0be7c0-a567-4132-a813-927fba8bf05a","20130506T02:36:46.275+0000","d1e7ccac-e0a8-461d-83b1-181b61e63e83","20130506T04:26:12.282+0000","daf66381-5fc6-4909-b492-fb0ca43cda4d","d1e7ccac-e0a8-461d-83b1-181b61e63e83","","","","","","","","","","","","","","",""
"","37441021","fallai","Allothunnus fallai Serventy, 1948","SCOMBRIDAE","Allothunnus","","fallai","","Valid Name","","Species","","Serventy","1948","Y","528df680-171a-4da9-9b5e-c70ad0ff196c","20131008T23:07:52.756+0000","b1939182-d281-48e0-a5db-dc37623da2df","20131008T23:07:52.756+0000","590891d0-552c-4342-b96b-3a398fa7b194","b1939182-d281-48e0-a5db-dc37623da2df","","","","","","","","","","","","","","",""
"","37012003","pelagicus","Alopias pelagicus Nakamura, 1935","ALOPIIDAE","Alopias","","pelagicus","","Valid Name","","Species","","Nakamura","1935","Y","e335c803-0864-4f90-83aa-fde77fd456cc","20140313T03:41:28.159+0000","50d7d38a-8c36-4b72-8ab7-9bfeedbfcc65","20140313T03:41:28.159+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","50d7d38a-8c36-4b72-8ab7-9bfeedbfcc65","","","","","","","","","","","","","","",""
"","37012001","vulpinus","Alopias vulpinus (Bonnaterre, 1788)","ALOPIIDAE","Alopias","","vulpinus","","Valid Name","","Species","","Bonnaterre","1788","N","e088abbe-5344-4bb1-9500-854a2b069396","20140313T03:41:28.159+0000","e753f025-b2d6-4372-8c6e-390afc730821","20140313T03:41:28.159+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","e753f025-b2d6-4372-8c6e-390afc730821","","","","","","","","","","","","","","",""
"","37257001","cornuta","Anoplogaster cornuta (Valenciennes, 1833)","ANOPLOGASTRIDAE","Anoplogaster","","cornuta","","Valid Name","","Species","","Valenciennes","1833","N","5a8678a2-1a3f-4874-98c6-07fbabef20fc","20160520T07:15:08.678+0000","732817fa-bd1e-4933-b86d-5256b5185c65","20160606T05:15:12.352+0000","8928ee4e-8dcb-482b-ab38-9e63bd753497","732817fa-bd1e-4933-b86d-5256b5185c65","","","","","","","","","","","","","","",""
"","37129001","vorax","Anotopterus vorax (Regan, 1913)","PARALEPIDIDAE","Anotopterus","","vorax","","Valid Name","","Species","","Regan","1913","N","b13e7868-9009-497f-a510-c3dddb43ed44","20160614T07:51:22.914+0000","632ea357-1f19-4872-b00d-388f127f02f9","20161222T00:27:39.419+0000","8171177e-5614-4e27-adb0-efcbbdc7628e","632ea357-1f19-4872-b00d-388f127f02f9","","","","","","","","","","","","","","",""
"","37267005","rubescens","Antigonia rubescens (Günther, 1860)","CAPROIDAE","Antigonia","","rubescens","","Valid Name","","Species","","Günther","1860","N","1b3fa954-df15-47cd-b938-7f451be4874a","20130204T07:04:26.434+0000","811aeea7-b5f1-4b51-8bba-5157f5d1dd4f","20130204T22:58:37.831+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","811aeea7-b5f1-4b51-8bba-5157f5d1dd4f","","","","","","","","","","","","","","",""
"","37224008","rostrata","Antimora rostrata (Günther, 1878)","MORIDAE","Antimora","","rostrata","","Valid Name","","Species","","Günther","1878","N","c4e8dcdf-32f4-454a-953f-dc8891461f56","20151111T08:00:52.407+0000","3b11681e-237c-45bf-a7e2-8f32ddbc1503","20151125T23:15:40.328+0000","0c8418fc-1a0c-4f3b-a455-c46975a1e636","3b11681e-237c-45bf-a7e2-8f32ddbc1503","","","","","","","","","","","","","","",""
"","37015014","sinensis","Apristurus sinensis Chu & Hu, 1981","SCYLIORHINIDAE","Apristurus","","sinensis","","Valid Name","","Species","","Chu & Hu","1981","Y","062980dc-8b3e-4f09-a2df-298adaf5b06e","20110218T01:51:42.612+0000","76c16339-259f-44a2-9008-1a3f64958855","20120416T05:24:25.862+0000","f4aaa359-8018-40aa-a9fd-615162870343","76c16339-259f-44a2-9008-1a3f64958855","","","","","","","","","","","","","","",""
"","37097001","australiae","Argentina australiae Cohen, 1958","ARGENTINIDAE","Argentina","","australiae","","Valid Name","","Species","","Cohen","1958","Y","b564a817-6afc-4d35-b609-8dd2bf30b99c","20160523T00:06:44.378+0000","bdff8205-c5ab-493c-93aa-56de7f7fda4a","20160606T05:32:28.811+0000","9576d0f3-d6f5-4110-89ab-ff0ee5f74310","bdff8205-c5ab-493c-93aa-56de7f7fda4a","","","","","","","","","","","","","","",""
"","37107006","hemigymnus","Argyropelecus hemigymnus Cocco, 1829","STERNOPTYCHIDAE","Argyropelecus","","hemigymnus","","Valid Name","","Species","","Cocco","1829","Y","4ea62db6-31fc-4f77-bf8d-60ba4a45d68c","20081009T05:11:37.000+0000","8e617735-3764-42a3-be66-9ae9be844634","20100727T00:03:17.157+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","8e617735-3764-42a3-be66-9ae9be844634","","","","","","","","","","","","","","",""
"","37107013","sladeni","Argyropelecus sladeni Regan, 1908","STERNOPTYCHIDAE","Argyropelecus","","sladeni","","Valid Name","","Species","","Regan","1908","Y","92113012-efef-48ad-b31a-c8f34469931d","20081009T05:11:37.000+0000","e4e786d5-b383-4810-9ac4-c53434e0f013","20180313T00:53:05.345+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","e4e786d5-b383-4810-9ac4-c53434e0f013","","","","","","","","","","","","","","",""
"","37447003","luridum","Ariomma luridum Jordan & Snyder, 1904","ARIOMMATIDAE","Ariomma","","luridum","","Valid Name","","Species","","Jordan & Snyder","1904","Y","0384c4ae-98a5-4c2d-9b65-6e4f455db9bd","20131008T23:07:52.756+0000","455b8ac0-e3f6-4c8d-b43b-7bfeacbc9889","20131008T23:07:52.756+0000","5430aa04-9dc9-4a38-9fcc-98ec990b1c93","455b8ac0-e3f6-4c8d-b43b-7bfeacbc9889","","","","","","","","","","","","","","",""
"","37067003","mauritianum","Ariosoma mauritianum (Pappenheim, 1914)","CONGRIDAE","Ariosoma","","mauritianum","","Valid Name","","Species","","Pappenheim","1914","N","e6d0b710-e069-48a6-939e-7d59c5cafd17","20180601T04:05:29.723+0000","370eb3f0-3c35-4308-9a84-91a09b5724ec","20190305T04:57:36.559+0000","673f2749-35b5-4b29-9bb4-f46b5e86836d","370eb3f0-3c35-4308-9a84-91a09b5724ec","","","","","","","","","","","","","","",""
"","37114031","caeruleus","Asquamiceps caeruleus Markle, 1980","ALEPOCEPHALIDAE","Asquamiceps","","caeruleus","","Valid Name","","Species","","Markle","1980","Y","13229714-6db9-430a-a10d-0dbe0975f8b0","20160523T00:06:44.378+0000","6707d185-0a96-4091-88dd-7ce585658f09","20160606T05:32:28.811+0000","9fd71622-4140-41b1-a22a-cda0f28a56a7","6707d185-0a96-4091-88dd-7ce585658f09","","","","","","","","","","","","","","",""
"","37136001","japonicus","Ateleopus japonicus Bleeker, 1853","ATELEOPODIDAE","Ateleopus","","japonicus","","Valid Name","","Species","","Bleeker","1853","Y","a93925ab-f978-4a18-8898-cd5925a18cc2","20110422T12:31:10.502+0000","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","20140219T05:50:25.669+0000","03598f5f-feb9-4513-831d-4399f5b17654","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","","","","","","","","","","","","","","",""
"","37441027","rochei","Auxis rochei (Risso, 1810)","SCOMBRIDAE","Auxis","","rochei","","Valid Name","","Species","","Risso","1810","N","cb041fe3-9ee1-4c19-865f-f253ff190272","20131008T23:07:52.756+0000","1e725ffb-3288-48b6-be54-a23a98aada15","20131008T23:07:52.756+0000","9c8a0e53-7499-48df-a837-7f3a382877ab","1e725ffb-3288-48b6-be54-a23a98aada15","","","","","","","","","","","","","","",""
"","37441009","thazard","Auxis thazard (Lacépède, 1800)","SCOMBRIDAE","Auxis","","thazard","","Valid Name","","Species","","Lacépède","1800","N","9b6ad50c-101b-4355-80ee-e1c585850eea","20131008T23:07:52.756+0000","efcc811c-93c0-447e-9b8c-425cf152bff2","20131008T23:07:52.756+0000","9c8a0e53-7499-48df-a837-7f3a382877ab","efcc811c-93c0-447e-9b8c-425cf152bff2","","","","","","","","","","","","","","",""
"","37114019","calcarata","Bajacalifornia calcarata (Weber, 1913)","ALEPOCEPHALIDAE","Bajacalifornia","","calcarata","","Valid Name","","Species","","Weber","1913","N","1a2ec0e7-ba56-497a-aedf-3fb670eab7b7","20160523T00:06:44.378+0000","64c1f10a-6669-466c-827d-8769a55eae9f","20160606T05:32:28.811+0000","66e69820-5298-47fe-a511-d086aaecd407","64c1f10a-6669-466c-827d-8769a55eae9f","","","","","","","","","","","","","","",""
"","37134001","rufa","Barbourisia rufa Parr, 1945","BARBOURISIIDAE","Barbourisia","","rufa","","Valid Name","","Species","","Parr","1945","Y","e9e032ff-aaa8-44e4-af28-3e39b420d629","20081009T05:11:37.000+0000","78dd6713-5655-4c1c-b58d-07b03b398d34","20100727T00:17:56.369+0000","b22d7c4c-40df-4635-b037-b63729f7893d","78dd6713-5655-4c1c-b58d-07b03b398d34","","","","","","","","","","","","","","",""
"","37228051","galatheae","Bassozetus galatheae Nielsen & Merrett, 2000","OPHIDIIDAE","Bassozetus","","galatheae","","Valid Name","","Species","","Nielsen & Merrett","2000","Y","e5c9d785-2bfc-4dbf-9a86-272d5973c27a","20150517T08:32:20.340+0000","93ba5cd0-c766-49f6-ab25-28a833314189","20150622T00:52:33.563+0000","51ba2da4-e030-4b86-9d25-c63b90e0d8f1","93ba5cd0-c766-49f6-ab25-28a833314189","","","","","","","","","","","","","","",""
"","37228052","glutinosus","Bassozetus glutinosus (Alcock, 1890)","OPHIDIIDAE","Bassozetus","","glutinosus","","Valid Name","","Species","","Alcock","1890","N","8286c4a1-9fa2-4df4-b5b9-428f67d3b116","20150517T08:34:14.102+0000","0991e969-36c9-4b31-abf6-e2e92a3c00af","20150622T00:52:33.563+0000","51ba2da4-e030-4b86-9d25-c63b90e0d8f1","0991e969-36c9-4b31-abf6-e2e92a3c00af","","","","","","","","","","","","","","",""
"","37109004","nigerrimus","Bathophilus nigerrimus Giglioli, 1882","STOMIIDAE","Bathophilus","","nigerrimus","","Valid Name","","Species","","Giglioli","1882","Y","971d441a-9ee0-4d56-94b1-d1877eccc39f","20081009T05:11:37.000+0000","e7c61958-0487-4b12-a0be-05e9315b4b06","20100727T00:03:17.157+0000","882eb693-1fa9-4b0f-85db-1a8450985e02","e7c61958-0487-4b12-a0be-05e9315b4b06","","","","","","","","","","","","","","",""
"","37358001","gracilis","Bathyclupea gracilis Fowler, 1938","BATHYCLUPEIDAE","Bathyclupea","","gracilis","","Valid Name","","Species","","Fowler","1938","Y","80483cbb-903a-4e76-a066-ffb6bff0995b","20131008T23:07:52.756+0000","63164455-abb1-4772-a187-d63618d70dda","20131008T23:07:52.756+0000","e0c7cdbe-3f5e-43ff-b5ae-07158df31f2e","63164455-abb1-4772-a187-d63618d70dda","","","","","","","","","","","","","","",""
"","37232077","spongiceps","Bathygadus spongiceps Gilbert & Hubbs, 1920","BATHYGADIDAE","Bathygadus","","spongiceps","","Valid Name","","Species","","Gilbert & Hubbs","1920","Y","68cad519-4adb-44cd-abdd-4d05ac69ec1d","20151111T12:33:01.772+0000","370d0fc1-62e7-49e0-85cb-2aa456617358","20151125T23:15:40.328+0000","002e6b10-a835-4d2a-be0b-ac31fed084f7","370d0fc1-62e7-49e0-85cb-2aa456617358","","","","","","","","","","","","","","",""
"","37123007","grallator","Bathypterois grallator (Goode & Bean, 1886)","IPNOPIDAE","Bathypterois","","grallator","","Valid Name","","Species","","Goode & Bean","1886","N","bc566e05-fc79-4e25-866e-b3da451ae2fc","20160720T05:27:36.662+0000","32664ec5-a4f6-401e-9289-109ea16b45b0","20161222T00:27:39.419+0000","5cbad01a-2602-44be-aca6-8888c909d5c2","32664ec5-a4f6-401e-9289-109ea16b45b0","","","","","","","","","","","","","","",""
"","37123005","guentheri","Bathypterois guentheri Alcock, 1889","IPNOPIDAE","Bathypterois","","guentheri","","Valid Name","","Species","","Alcock","1889","Y","7d47e8e9-ce5d-4fd3-9550-f0bbc6c9b5ab","20160727T06:09:21.726+0000","9601de94-046a-4317-8e9b-ae985016d33a","20161222T00:27:39.419+0000","5cbad01a-2602-44be-aca6-8888c909d5c2","9601de94-046a-4317-8e9b-ae985016d33a","","","","","","","","","","","","","","",""
"","37123006","ventralis","Bathypterois ventralis Garman, 1899","IPNOPIDAE","Bathypterois","","ventralis","","Valid Name","","Species","","Garman","1899","Y","d976ea11-fb70-4ef7-8d71-50da11898404","20160721T08:12:20.711+0000","e7ff59d9-c16a-42ae-89c6-fa9f973bdb38","20161222T00:27:39.419+0000","5cbad01a-2602-44be-aca6-8888c909d5c2","e7ff59d9-c16a-42ae-89c6-fa9f973bdb38","","","","","","","","","","","","","","",""
