"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37287031","taenianotus","Ablabys taenianotus (Cuvier, 1829)","TETRAROGIDAE","Ablabys","","taenianotus","","Valid Name","","Species","","Cuvier","1829","N","71c1e0c7-bbe0-4f6f-acd9-f944a7cb4eda","20150423T08:02:11.608+0000","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","20150505T21:35:04.768+0000","f3e1f03f-ae31-423d-b650-c217c808a6d7","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","","","","","","","","","","","","","","",""
"","37372145","notatus","Abudefduf notatus (Day, 1870)","POMACENTRIDAE","Abudefduf","","notatus","","Valid Name","","Species","","Day","1870","N","fea4de39-4a5a-4b28-aa97-bc0a8d5c1a4a","20170512T09:48:14.907+0000","8216b685-65b4-4511-833c-cabd04ba204b","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","8216b685-65b4-4511-833c-cabd04ba204b","","","","","","","","","","","","","","",""
"","37372010","septemfasciatus","Abudefduf septemfasciatus (Cuvier, 1830)","POMACENTRIDAE","Abudefduf","","septemfasciatus","","Valid Name","","Species","","Cuvier","1830","N","8d518e38-5ca2-40d9-8591-76f5f91a11e4","20170512T09:50:41.356+0000","793331eb-edec-4b93-b6a4-e10c76836355","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","793331eb-edec-4b93-b6a4-e10c76836355","","","","","","","","","","","","","","",""
"","37372011","sexfasciatus","Abudefduf sexfasciatus (Lacépède, 1801)","POMACENTRIDAE","Abudefduf","","sexfasciatus","","Valid Name","","Species","","Lacépède","1801","N","1eb39c0b-7832-4ee9-8169-24b617929d54","20170512T09:52:19.467+0000","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37437006","bariene","Acanthurus bariene Lesson, 1831","ACANTHURIDAE","Acanthurus","","bariene","","Valid Name","","Species","","Lesson","1831","Y","aa729465-3ce2-47e1-b94f-7e591040be75","20131008T23:07:52.756+0000","9b9fb729-8ba8-4dd6-8bd8-478c9cfb53a1","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9b9fb729-8ba8-4dd6-8bd8-478c9cfb53a1","","","","","","","","","","","","","","",""
"","37437007","blochii","Acanthurus blochii Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","blochii","","Valid Name","","Species","","Valenciennes","1835","Y","8439bf63-339d-4567-b7af-611642c82a3c","20131008T23:07:52.756+0000","0bb4416b-6c8f-478c-8f2e-479a1cd90124","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","0bb4416b-6c8f-478c-8f2e-479a1cd90124","","","","","","","","","","","","","","",""
"","37437008","dussumieri","Acanthurus dussumieri Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","dussumieri","","Valid Name","","Species","","Valenciennes","1835","Y","c0be9611-1828-4fc7-a2a9-549657c218e8","20131008T23:07:52.756+0000","cac4e177-ad22-4798-b923-def92ff46b98","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","cac4e177-ad22-4798-b923-def92ff46b98","","","","","","","","","","","","","","",""
"","37437009","guttatus","Acanthurus guttatus Forster, 1801","ACANTHURIDAE","Acanthurus","","guttatus","","Valid Name","","Species","","Forster","1801","Y","41c78e6e-b6c8-4c17-842d-2227b68fcbfe","20131008T23:07:52.756+0000","979c9fec-f654-44c7-ba65-621391d81910","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","979c9fec-f654-44c7-ba65-621391d81910","","","","","","","","","","","","","","",""
"","","leucocheilus","Acanthurus leucocheilus Herre, 1927","ACANTHURIDAE","Acanthurus","","leucocheilus","","Valid Name","","Species","","Herre","1927","Y","3da3f523-2c33-44ac-9294-50141a25d447","20130313T04:43:33.985+0000","4fe3d543-ec51-43ec-84c5-f9329d6d5846","20130611T01:04:34.221+0000","6eb687f6-fb30-456c-b548-57e3589ab102","4fe3d543-ec51-43ec-84c5-f9329d6d5846","","","","","","","","","","","","","","",""
"","","leucosternon","Acanthurus leucosternon Bennett, 1833","ACANTHURIDAE","Acanthurus","","leucosternon","","Valid Name","","Species","","Bennett","1833","Y","dc68c7b6-b653-442b-ba03-f86e816ebd1c","20130606T05:09:11.977+0000","9ef4aa7c-31ad-48d8-8a05-c6624a499efe","20130611T01:04:34.221+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9ef4aa7c-31ad-48d8-8a05-c6624a499efe","","","","","","","","","","","","","","",""
"","37437010","lineatus","Acanthurus lineatus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","lineatus","","Valid Name","","Species","","Linnaeus","1758","N","ac39c4bb-0f4b-4e9d-aa7d-2fe688fc1232","20131008T23:07:52.756+0000","35ec6009-29e3-4ed7-b1fe-2c8583a031c3","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","35ec6009-29e3-4ed7-b1fe-2c8583a031c3","","","","","","","","","","","","","","",""
"","37437041","maculiceps","Acanthurus maculiceps (Ahl, 1923)","ACANTHURIDAE","Acanthurus","","maculiceps","","Valid Name","","Species","","Ahl","1923","N","96e0211d-e08b-4ed7-8b91-6988826701ed","20131008T23:07:52.756+0000","633867dd-30b2-4365-acdf-191c31cac141","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","633867dd-30b2-4365-acdf-191c31cac141","","","","","","","","","","","","","","",""
"","37437011","mata","Acanthurus mata (Cuvier, 1829)","ACANTHURIDAE","Acanthurus","","mata","","Valid Name","","Species","","Cuvier","1829","N","963285cd-c272-4dac-a79c-0e67076fc7ed","20131008T23:07:52.756+0000","1921265a-57a6-4c57-a2d2-77fa235f1dc9","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","1921265a-57a6-4c57-a2d2-77fa235f1dc9","","","","","","","","","","","","","","",""
"","37437012","nigricans","Acanthurus nigricans (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","nigricans","","Valid Name","","Species","","Linnaeus","1758","N","23d8b474-dc68-4785-9412-47e638e5116e","20131008T23:07:52.756+0000","33f1df40-3d1c-4699-80d9-930281d49032","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","33f1df40-3d1c-4699-80d9-930281d49032","","","","","","","","","","","","","","",""
"","37437013","nigricauda","Acanthurus nigricauda Duncker & Mohr, 1929","ACANTHURIDAE","Acanthurus","","nigricauda","","Valid Name","","Species","","Duncker & Mohr","1929","Y","eb71096b-86b5-4360-8760-937796f69ac6","20131008T23:07:52.756+0000","41e979f5-1e62-43ac-89db-e6af6e8222cb","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","41e979f5-1e62-43ac-89db-e6af6e8222cb","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
"","37437016","olivaceus","Acanthurus olivaceus Bloch & Schneider, 1801","ACANTHURIDAE","Acanthurus","","olivaceus","","Valid Name","","Species","","Bloch & Schneider","1801","Y","afe6cb9a-2783-45d8-90a8-6e99eb37eee5","20131008T23:07:52.756+0000","eaadc13b-487d-4ca2-8caf-50ecd909e493","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","eaadc13b-487d-4ca2-8caf-50ecd909e493","","","","","","","","","","","","","","",""
"","37437017","pyroferus","Acanthurus pyroferus Kittlitz, 1834","ACANTHURIDAE","Acanthurus","","pyroferus","","Valid Name","","Species","","Kittlitz","1834","Y","0a0b26fd-7556-4e65-99f7-176e3f7805cd","20131008T23:07:52.756+0000","c9c069c8-15ff-408d-a85a-66e7d0f9e5d0","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","c9c069c8-15ff-408d-a85a-66e7d0f9e5d0","","","","","","","","","","","","","","",""
"","37437050","tennentii","Acanthurus tennentii Günther, 1861","ACANTHURIDAE","Acanthurus","","tennentii","","Valid Name","","Species","","Günther","1861","Y","6c996581-3b23-4343-a235-0bf0ec5ddcbe","20130606T06:12:10.623+0000","e385c926-7da9-4e43-8262-c335a91b6620","20130611T01:04:34.221+0000","6eb687f6-fb30-456c-b548-57e3589ab102","e385c926-7da9-4e43-8262-c335a91b6620","","","","","","","","","","","","","","",""
"","37437018","thompsoni","Acanthurus thompsoni (Fowler, 1923)","ACANTHURIDAE","Acanthurus","","thompsoni","","Valid Name","","Species","","Fowler","1923","N","1726cacd-c92f-48e7-bd53-4db12e9a1f42","20131008T23:07:52.756+0000","bd18cbbd-1112-4346-a6ff-ffd1873e0109","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","bd18cbbd-1112-4346-a6ff-ffd1873e0109","","","","","","","","","","","","","","",""
"","37437019","triostegus","Acanthurus triostegus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","triostegus","","Valid Name","","Species","","Linnaeus","1758","N","ebcbf5dd-11e6-404b-9a29-980f2573f8bc","20131008T23:07:52.756+0000","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","","","","","","","","","","","","","","",""
"","37437051","tristis","Acanthurus tristis Randall, 1993","ACANTHURIDAE","Acanthurus","","tristis","","Valid Name","","Species","","Randall","1993","Y","24b6cdff-6f34-4de9-8832-40289be7faf3","20130606T06:16:11.604+0000","68a1bb3e-b45a-4850-8cbd-5066182c5f64","20130611T01:04:34.221+0000","6eb687f6-fb30-456c-b548-57e3589ab102","68a1bb3e-b45a-4850-8cbd-5066182c5f64","","","","","","","","","","","","","","",""
"","37437020","xanthopterus","Acanthurus xanthopterus Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","xanthopterus","","Valid Name","","Species","","Valenciennes","1835","Y","139df519-5074-4a3b-9594-ba2ddf2886ab","20131008T23:07:52.756+0000","b5b70112-6a02-4282-a015-ea1ee5532e07","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","b5b70112-6a02-4282-a015-ea1ee5532e07","","","","","","","","","","","","","","",""
