"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37372145","notatus","Abudefduf notatus (Day, 1870)","POMACENTRIDAE","Abudefduf","","notatus","","Valid Name","","Species","","Day","1870","N","fea4de39-4a5a-4b28-aa97-bc0a8d5c1a4a","20170512T09:48:14.907+0000","8216b685-65b4-4511-833c-cabd04ba204b","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","8216b685-65b4-4511-833c-cabd04ba204b","","","","","","","","","","","","","","",""
"","37372010","septemfasciatus","Abudefduf septemfasciatus (Cuvier, 1830)","POMACENTRIDAE","Abudefduf","","septemfasciatus","","Valid Name","","Species","","Cuvier","1830","N","8d518e38-5ca2-40d9-8591-76f5f91a11e4","20170512T09:50:41.356+0000","793331eb-edec-4b93-b6a4-e10c76836355","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","793331eb-edec-4b93-b6a4-e10c76836355","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37437007","blochii","Acanthurus blochii Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","blochii","","Valid Name","","Species","","Valenciennes","1835","Y","8439bf63-339d-4567-b7af-611642c82a3c","20131008T23:07:52.756+0000","0bb4416b-6c8f-478c-8f2e-479a1cd90124","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","0bb4416b-6c8f-478c-8f2e-479a1cd90124","","","","","","","","","","","","","","",""
"","37437009","guttatus","Acanthurus guttatus Forster, 1801","ACANTHURIDAE","Acanthurus","","guttatus","","Valid Name","","Species","","Forster","1801","Y","41c78e6e-b6c8-4c17-842d-2227b68fcbfe","20131008T23:07:52.756+0000","979c9fec-f654-44c7-ba65-621391d81910","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","979c9fec-f654-44c7-ba65-621391d81910","","","","","","","","","","","","","","",""
"","","leucosternon","Acanthurus leucosternon Bennett, 1833","ACANTHURIDAE","Acanthurus","","leucosternon","","Valid Name","","Species","","Bennett","1833","Y","dc68c7b6-b653-442b-ba03-f86e816ebd1c","20130606T05:09:11.977+0000","9ef4aa7c-31ad-48d8-8a05-c6624a499efe","20130611T01:04:34.221+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9ef4aa7c-31ad-48d8-8a05-c6624a499efe","","","","","","","","","","","","","","",""
"","37437010","lineatus","Acanthurus lineatus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","lineatus","","Valid Name","","Species","","Linnaeus","1758","N","ac39c4bb-0f4b-4e9d-aa7d-2fe688fc1232","20131008T23:07:52.756+0000","35ec6009-29e3-4ed7-b1fe-2c8583a031c3","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","35ec6009-29e3-4ed7-b1fe-2c8583a031c3","","","","","","","","","","","","","","",""
"","37437041","maculiceps","Acanthurus maculiceps (Ahl, 1923)","ACANTHURIDAE","Acanthurus","","maculiceps","","Valid Name","","Species","","Ahl","1923","N","96e0211d-e08b-4ed7-8b91-6988826701ed","20131008T23:07:52.756+0000","633867dd-30b2-4365-acdf-191c31cac141","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","633867dd-30b2-4365-acdf-191c31cac141","","","","","","","","","","","","","","",""
"","37437011","mata","Acanthurus mata (Cuvier, 1829)","ACANTHURIDAE","Acanthurus","","mata","","Valid Name","","Species","","Cuvier","1829","N","963285cd-c272-4dac-a79c-0e67076fc7ed","20131008T23:07:52.756+0000","1921265a-57a6-4c57-a2d2-77fa235f1dc9","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","1921265a-57a6-4c57-a2d2-77fa235f1dc9","","","","","","","","","","","","","","",""
"","37437012","nigricans","Acanthurus nigricans (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","nigricans","","Valid Name","","Species","","Linnaeus","1758","N","23d8b474-dc68-4785-9412-47e638e5116e","20131008T23:07:52.756+0000","33f1df40-3d1c-4699-80d9-930281d49032","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","33f1df40-3d1c-4699-80d9-930281d49032","","","","","","","","","","","","","","",""
"","37437013","nigricauda","Acanthurus nigricauda Duncker & Mohr, 1929","ACANTHURIDAE","Acanthurus","","nigricauda","","Valid Name","","Species","","Duncker & Mohr","1929","Y","eb71096b-86b5-4360-8760-937796f69ac6","20131008T23:07:52.756+0000","41e979f5-1e62-43ac-89db-e6af6e8222cb","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","41e979f5-1e62-43ac-89db-e6af6e8222cb","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
