"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37128002","brevirostris","Alepisaurus brevirostris Gibbs, 1960","ALEPISAURIDAE","Alepisaurus","","brevirostris","","Valid Name","","Species","","Gibbs","1960","Y","73951e7d-fc8d-4c04-9d41-f68bea2a25ca","20160714T09:40:11.965+0000","a61e7f4d-da07-4285-9cde-ef788887dd26","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","a61e7f4d-da07-4285-9cde-ef788887dd26","","","","","","","","","","","","","","",""
"","37305007","magnicirrus","Ambophthalmos magnicirrus (Nelson, 1977)","PSYCHROLUTIDAE","Ambophthalmos","","magnicirrus","","Valid Name","","Species","","Nelson","1977","N","8c248e3e-85de-48dd-801e-2a9a31aa797c","20150421T07:52:10.063+0000","7cd7066a-de65-450b-8bf6-94aeb5606322","20150505T21:35:04.768+0000","d542caca-758f-49cc-8a2b-49c723abe374","7cd7066a-de65-450b-8bf6-94aeb5606322","","","","","","","","","","","","","","",""
"","37129001","vorax","Anotopterus vorax (Regan, 1913)","PARALEPIDIDAE","Anotopterus","","vorax","","Valid Name","","Species","","Regan","1913","N","b13e7868-9009-497f-a510-c3dddb43ed44","20160614T07:51:22.914+0000","632ea357-1f19-4872-b00d-388f127f02f9","20161222T00:27:39.419+0000","8171177e-5614-4e27-adb0-efcbbdc7628e","632ea357-1f19-4872-b00d-388f127f02f9","","","","","","","","","","","","","","",""
"","37224008","rostrata","Antimora rostrata (Günther, 1878)","MORIDAE","Antimora","","rostrata","","Valid Name","","Species","","Günther","1878","N","c4e8dcdf-32f4-454a-953f-dc8891461f56","20151111T08:00:52.407+0000","3b11681e-237c-45bf-a7e2-8f32ddbc1503","20151125T23:15:40.328+0000","0c8418fc-1a0c-4f3b-a455-c46975a1e636","3b11681e-237c-45bf-a7e2-8f32ddbc1503","","","","","","","","","","","","","","",""
"","37131750","elongata","Benthalbella elongata (Norman, 1937)","SCOPELARCHIDAE","Benthalbella","","elongata","","Valid Name","","Species","","Norman","1937","N","750be3f9-0555-4d46-b9e9-79e9eb45f0a8","20160611T09:37:50.469+0000","6a9113c1-debc-426f-8823-c92f474783d1","20161222T00:27:39.419+0000","4dce08d3-0f1e-470d-a4bc-0ad349891520","6a9113c1-debc-426f-8823-c92f474783d1","","","","","","","","","","","","","","",""
"","37232031","kaiyomaru","Coelorinchus kaiyomaru Arai & Iwamoto, 1979","MACROURIDAE","Coelorinchus","","kaiyomaru","","Valid Name","","Species","","Arai & Iwamoto","1979","Y","549e4bbd-6dca-496f-a358-d02fdc773ebd","20180411T22:50:16.904+0000","3628fb63-d81c-4174-8f78-f76ffde997b1","20180731T05:42:43.637+0000","3d0a43aa-29bc-4ece-b8b1-677ea69015bd","3628fb63-d81c-4174-8f78-f76ffde997b1","","","","","","","","","","","","","","",""
"","37232080","trachycarus","Coelorinchus trachycarus Iwamoto, McMillan & Shcherbachev, 1999","MACROURIDAE","Coelorinchus","","trachycarus","","Valid Name","","Species","","Iwamoto, McMillan & Shcherbachev","1999","Y","39ad1386-9ba7-47cf-9085-e8b54165027f","20180411T22:50:16.904+0000","70f45972-d049-41cb-847f-a6b2db5595ba","20180731T05:42:43.637+0000","3d0a43aa-29bc-4ece-b8b1-677ea69015bd","70f45972-d049-41cb-847f-a6b2db5595ba","","","","","","","","","","","","","","",""
"","37232039","dossenus","Coryphaenoides dossenus McMillan, 1999","MACROURIDAE","Coryphaenoides","","dossenus","","Valid Name","","Species","","McMillan","1999","Y","cc47a10d-b543-4b2c-adb6-7d9ae0f47d36","20180509T06:45:43.399+0000","10ec1363-8397-4fe0-acb4-22990fb639ad","20180731T05:42:43.637+0000","793d0538-e104-490c-a75d-a226f934da87","10ec1363-8397-4fe0-acb4-22990fb639ad","","","","","","","","","","","","","","",""
"","37232051","mcmillani","Coryphaenoides mcmillani Iwamoto & Shcherbachev, 1991","MACROURIDAE","Coryphaenoides","","mcmillani","","Valid Name","","Species","","Iwamoto & Shcherbachev","1991","Y","9517c749-747d-4b80-b1b0-f2a00d99976d","20180411T22:50:16.904+0000","113ea8cd-d048-4238-9eb0-e7b9b97b16d5","20180731T05:42:43.637+0000","793d0538-e104-490c-a75d-a226f934da87","113ea8cd-d048-4238-9eb0-e7b9b97b16d5","","","","","","","","","","","","","","",""
"","37232052","murrayi","Coryphaenoides murrayi Günther, 1878","MACROURIDAE","Coryphaenoides","","murrayi","","Valid Name","","Species","","Günther","1878","Y","47d9cf21-5142-4494-b125-ad9c055e2676","20180512T08:47:52.480+0000","cfaa5f02-58c0-4594-ad1a-0684ba3ed4c6","20180731T05:42:43.637+0000","793d0538-e104-490c-a75d-a226f934da87","cfaa5f02-58c0-4594-ad1a-0684ba3ed4c6","","","","","","","","","","","","","","",""
