"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37235001","hians","Ablennes hians (Valenciennes, 1846)","BELONIDAE","Ablennes","","hians","","Valid Name","","Species","","Valenciennes","1846","N","ea3cc845-272c-4bcf-81e6-067399fa8b43","20170426T07:00:15.214+0000","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","20180329T02:08:16.158+0000","3aae0d57-cc9c-400f-b9ef-004582539e05","a32ff83c-1b73-4d4e-8997-f66e0fb5211f","","","","","","","","","","","","","","",""
"","37372011","sexfasciatus","Abudefduf sexfasciatus (Lacépède, 1801)","POMACENTRIDAE","Abudefduf","","sexfasciatus","","Valid Name","","Species","","Lacépède","1801","N","1eb39c0b-7832-4ee9-8169-24b617929d54","20170512T09:52:19.467+0000","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
"","37311131","cinctus","Acanthistius cinctus (Günther, 1859)","SERRANIDAE","Acanthistius","","cinctus","","Valid Name","","Species","","Günther","1859","N","b1719fd0-b1c9-4d7c-8d5e-68bbb7f28da8","20121130T05:29:24.269+0000","a322f4f0-5bb5-4553-b553-1569e8d4d192","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","a322f4f0-5bb5-4553-b553-1569e8d4d192","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37437008","dussumieri","Acanthurus dussumieri Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","dussumieri","","Valid Name","","Species","","Valenciennes","1835","Y","c0be9611-1828-4fc7-a2a9-549657c218e8","20131008T23:07:52.756+0000","cac4e177-ad22-4798-b923-def92ff46b98","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","cac4e177-ad22-4798-b923-def92ff46b98","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
"","37437019","triostegus","Acanthurus triostegus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","triostegus","","Valid Name","","Species","","Linnaeus","1758","N","ebcbf5dd-11e6-404b-9a29-980f2573f8bc","20131008T23:07:52.756+0000","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","","","","","","","","","","","","","","",""
"","37206037","springeri","Alabes springeri Hutchins, 2006","GOBIESOCIDAE","Alabes","","springeri","","Valid Name","","Species","","Hutchins","2006","Y","c12612a8-c808-4710-a31c-fa7ab1aac578","20131009T01:04:25.750+0000","76a29698-8907-4bc5-b315-112dcdc13db7","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","76a29698-8907-4bc5-b315-112dcdc13db7","","","","","","","","","","","","","","",""
