"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37372015","polyacanthus","Acanthochromis polyacanthus (Bleeker, 1855)","POMACENTRIDAE","Acanthochromis","","polyacanthus","","Valid Name","","Species","","Bleeker","1855","N","43ce1f63-ff57-42cb-b017-a93608743ece","20170529T07:19:42.377+0000","ce9d468e-5f27-4079-a98c-728c8a68f8f1","20170727T04:09:21.978+0000","ea322964-d1db-4417-b9a3-3889afdd5ecc","ce9d468e-5f27-4079-a98c-728c8a68f8f1","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
"","37437017","pyroferus","Acanthurus pyroferus Kittlitz, 1834","ACANTHURIDAE","Acanthurus","","pyroferus","","Valid Name","","Species","","Kittlitz","1834","Y","0a0b26fd-7556-4e65-99f7-176e3f7805cd","20131008T23:07:52.756+0000","c9c069c8-15ff-408d-a85a-66e7d0f9e5d0","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","c9c069c8-15ff-408d-a85a-66e7d0f9e5d0","","","","","","","","","","","","","","",""
"","37081004","affinis","Aldrovandia affinis (Günther, 1877)","HALOSAURIDAE","Aldrovandia","","affinis","","Valid Name","","Species","","Günther","1877","N","58bbd53b-7237-4069-8c85-13b00d3e64af","20180817T06:14:26.561+0000","552326a0-95a1-439b-b53f-943a3db80904","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","552326a0-95a1-439b-b53f-943a3db80904","","","","","","","","","","","","","","",""
"","37081005","phalacra","Aldrovandia phalacra (Vaillant, 1888)","HALOSAURIDAE","Aldrovandia","","phalacra","","Valid Name","","Species","","Vaillant","1888","N","253c6578-4707-4a3c-a69c-c99661bd4e47","20180802T07:37:39.659+0000","8d85b3ba-1bf3-4b56-a386-e0853536273a","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","8d85b3ba-1bf3-4b56-a386-e0853536273a","","","","","","","","","","","","","","",""
"","37128001","ferox","Alepisaurus ferox Lowe, 1833","ALEPISAURIDAE","Alepisaurus","","ferox","","Valid Name","","Species","","Lowe","1833","Y","1781c4e2-3841-46ff-bbe2-5b028ca6f2b1","20160714T09:38:53.984+0000","09365590-119f-4aa6-b550-95b349002236","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","09365590-119f-4aa6-b550-95b349002236","","","","","","","","","","","","","","",""
"","37429043","dorotheae","Allomicrodesmus dorotheae Schultz, 1966","XENISTHMIDAE","Allomicrodesmus","","dorotheae","","Valid Name","","Species","","Schultz","1966","Y","a30874ef-d4e8-47ec-81e0-6d662de84685","20150610T22:08:14.918+0000","ba9b326f-a931-484f-858c-510e689b1316","20181203T23:02:24.999+0000","ed664a43-1293-4fb8-87b8-68241f25a16e","ba9b326f-a931-484f-858c-510e689b1316","","","","","","","","","","","","","","",""
"","37012002","superciliosus","Alopias superciliosus Lowe, 1841","ALOPIIDAE","Alopias","","superciliosus","","Valid Name","","Species","","Lowe","1841","Y","2e134528-d77f-477a-8b99-3661d9f6d03c","20140313T03:41:28.159+0000","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","20150715T22:47:32.147+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","","","","","","","","","","","","","","",""
"","37446012","carlsbergi","Amarsipus carlsbergi Haedrich, 1969","AMARSIPIDAE","Amarsipus","","carlsbergi","","Valid Name","","Species","","Haedrich","1969","Y","4f54be46-a07e-4928-a855-bfbed4c846e9","20131008T23:07:52.756+0000","6be20d4e-871c-4645-91c0-aa2675b5dbdc","20131008T23:07:52.756+0000","af1119ec-d575-449c-989a-aed752ea6f25","6be20d4e-871c-4645-91c0-aa2675b5dbdc","","","","","","","","","","","","","","",""
"","37374002","bimacula","Amblycirrhitus bimacula (Jenkins, 1903)","CIRRHITIDAE","Amblycirrhitus","","bimacula","","Valid Name","","Species","","Jenkins","1903","N","a832f2c2-16f6-454d-a4b1-4a57c924bb11","20131008T23:07:52.756+0000","2ee1c55c-a479-4304-a5f7-6bef4b268d0e","20131008T23:07:52.756+0000","676e2ef7-d006-43bf-9050-62dfe59ed320","2ee1c55c-a479-4304-a5f7-6bef4b268d0e","","","","","","","","","","","","","","",""
"","37428043","steinitzi","Amblyeleotris steinitzi (Klausewitz, 1974)","GOBIIDAE","Amblyeleotris","","steinitzi","","Valid Name","","Species","","Klausewitz","1974","N","08f373b9-d070-436d-9357-f168d4c37b0d","20170815T08:42:42.602+0000","307cf3a6-e424-457a-a4c6-e64587ede341","20181203T23:02:24.999+0000","0f00e63e-6845-42fd-a722-14859dd735c0","307cf3a6-e424-457a-a4c6-e64587ede341","","","","","","","","","","","","","","",""
"","37372018","leucogaster","Amblyglyphidodon leucogaster (Bleeker, 1847)","POMACENTRIDAE","Amblyglyphidodon","","leucogaster","","Valid Name","","Species","","Bleeker","1847","N","d7c23b98-c4b1-4fb0-90ae-b5dfbe253365","20170529T07:21:51.495+0000","8264016c-ea9e-451c-adc9-d5c41c96438b","20170727T04:09:21.978+0000","e2a2513c-d07a-434e-bd6d-b06b06b8f134","8264016c-ea9e-451c-adc9-d5c41c96438b","","","","","","","","","","","","","","",""
"","37428049","rainfordi","Amblygobius rainfordi (Whitley, 1940)","GOBIIDAE","Amblygobius","","rainfordi","","Valid Name","","Species","","Whitley","1940","N","2846cc71-2eb3-41b1-a700-22b78f386db8","20180929T07:34:20.639+0000","b95dac32-63ed-44d4-a536-fef666475aaa","20181203T23:02:24.999+0000","30b0e814-8845-44e3-8bfe-d873a8a9884f","b95dac32-63ed-44d4-a536-fef666475aaa","","","","","","","","","","","","","","",""
"","37372021","chrysopterus","Amphiprion chrysopterus Cuvier, 1830","POMACENTRIDAE","Amphiprion","","chrysopterus","","Valid Name","","Species","","Cuvier","1830","Y","065e9448-67a6-448b-8404-345f8d71f523","20170512T10:19:02.745+0000","6b9c3fb4-8b64-4e33-8a31-b166d17b79bc","20170727T04:09:21.978+0000","598c5149-6358-48db-9766-d5cf10af9e31","6b9c3fb4-8b64-4e33-8a31-b166d17b79bc","","","","","","","","","","","","","","",""
"","37372007","clarkii","Amphiprion clarkii (Bennett, 1830)","POMACENTRIDAE","Amphiprion","","clarkii","","Valid Name","","Species","","Bennett","1830","N","7ef35a32-ff2c-4314-94f6-997839ad07e5","20170512T10:21:28.058+0000","53b3631b-ee9b-44fc-95c3-7e92f056cc1b","20170727T04:09:21.978+0000","598c5149-6358-48db-9766-d5cf10af9e31","53b3631b-ee9b-44fc-95c3-7e92f056cc1b","","","","","","","","","","","","","","",""
"","37384050","neoguinaicus","Anampses neoguinaicus Bleeker, 1878","LABRIDAE","Anampses","","neoguinaicus","","Valid Name","","Species","","Bleeker","1878","Y","a92f7c26-b109-48c9-b1df-04aa28cc8161","20170628T06:24:24.705+0000","ff309c03-451a-4314-b217-117c40b88a39","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","ff309c03-451a-4314-b217-117c40b88a39","","","","","","","","","","","","","","",""
"","37384051","twistii","Anampses twistii Bleeker, 1856","LABRIDAE","Anampses","","twistii","","Valid Name","","Species","","Bleeker","1856","Y","64de5806-5281-4ce3-a44f-4a6f170732da","20170601T09:51:54.921+0000","66c65fec-281d-49dc-a91d-d42208730c82","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","66c65fec-281d-49dc-a91d-d42208730c82","","","","","","","","","","","","","","",""
"","37260001","katoptron","Anomalops katoptron (Bleeker, 1856)","ANOMALOPIDAE","Anomalops","","katoptron","","Valid Name","","Species","","Bleeker","1856","N","664dda39-658e-4f42-87ab-93d4698dafb0","20151217T08:02:39.483+0000","878e2a4e-0c52-4b55-82c3-9cf1c1b1e75a","20160606T05:15:12.352+0000","3caac6b4-39a4-4173-ad19-518614339b92","878e2a4e-0c52-4b55-82c3-9cf1c1b1e75a","","","","","","","","","","","","","","",""
"","37267001","rhomboidea","Antigonia rhomboidea McCulloch, 1915","CAPROIDAE","Antigonia","","rhomboidea","","Valid Name","","Species","","McCulloch","1915","Y","7332822c-e574-40eb-a67e-261be7128cac","20130204T07:03:13.361+0000","9aa896c8-369f-4759-86e7-eec4226e73b0","20140219T05:34:51.903+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","9aa896c8-369f-4759-86e7-eec4226e73b0","","","","","","","","","","","","","","",""
"","37015015","platyrhynchus","Apristurus platyrhynchus (Tanaka, 1909)","SCYLIORHINIDAE","Apristurus","","platyrhynchus","","Valid Name","","Species","","Tanaka","1909","N","ecdfad50-0335-4454-9e4d-4f0a11575de2","20110218T01:51:42.612+0000","c967c429-b308-4cbf-935d-d6a27e53a05a","20120416T05:24:25.862+0000","f4aaa359-8018-40aa-a9fd-615162870343","c967c429-b308-4cbf-935d-d6a27e53a05a","","","","","","","","","","","","","","",""
"","37107012","ephippiatus","Argyripnus ephippiatus Gilbert & Cramer, 1897","STERNOPTYCHIDAE","Argyripnus","","ephippiatus","","Valid Name","","Species","","Gilbert & Cramer","1897","Y","b36eb576-08b4-4997-9ccb-3b7ea74126b3","20081009T05:11:37.000+0000","44780edf-3cf5-4c9a-a469-fde43ef2bcc6","20140219T00:07:36.817+0000","20911fac-9f95-474a-b349-bc466288395e","44780edf-3cf5-4c9a-a469-fde43ef2bcc6","","","","","","","","","","","","","","",""
"","37107001","aculeatus","Argyropelecus aculeatus Valenciennes, 1849","STERNOPTYCHIDAE","Argyropelecus","","aculeatus","","Valid Name","","Species","","Valenciennes","1849","Y","7b60bc6a-45a1-44de-8370-ce7abd45fa72","20081009T05:11:37.000+0000","f45da499-6eb1-4db2-abcb-08e9b9773336","20100727T00:03:17.157+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","f45da499-6eb1-4db2-abcb-08e9b9773336","","","","","","","","","","","","","","",""
"","37107013","sladeni","Argyropelecus sladeni Regan, 1908","STERNOPTYCHIDAE","Argyropelecus","","sladeni","","Valid Name","","Species","","Regan","1908","Y","92113012-efef-48ad-b31a-c8f34469931d","20081009T05:11:37.000+0000","e4e786d5-b383-4810-9ac4-c53434e0f013","20180313T00:53:05.345+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","e4e786d5-b383-4810-9ac4-c53434e0f013","","","","","","","","","","","","","","",""
"","37447007","indicum","Ariomma indicum (Day, 1870)","ARIOMMATIDAE","Ariomma","","indicum","","Valid Name","","Species","","Day","1870","N","ec8d21ce-9df8-4fe7-85de-2a97a4baa3c9","20131008T23:07:52.756+0000","10ddc41c-8e84-4024-bb53-feb994950a6e","20131008T23:07:52.756+0000","5430aa04-9dc9-4a38-9fcc-98ec990b1c93","10ddc41c-8e84-4024-bb53-feb994950a6e","","","","","","","","","","","","","","",""
"","37447003","luridum","Ariomma luridum Jordan & Snyder, 1904","ARIOMMATIDAE","Ariomma","","luridum","","Valid Name","","Species","","Jordan & Snyder","1904","Y","0384c4ae-98a5-4c2d-9b65-6e4f455db9bd","20131008T23:07:52.756+0000","455b8ac0-e3f6-4c8d-b43b-7bfeacbc9889","20131008T23:07:52.756+0000","5430aa04-9dc9-4a38-9fcc-98ec990b1c93","455b8ac0-e3f6-4c8d-b43b-7bfeacbc9889","","","","","","","","","","","","","","",""
"","37067035","anagoides","Ariosoma anagoides (Bleeker, 1853)","CONGRIDAE","Ariosoma","","anagoides","","Valid Name","","Species","","Bleeker","1853","N","e1987a6b-11be-415b-847e-34036de68284","20180731T13:29:37.032+0000","f883b4d2-a9e2-42c4-b284-86d51f37536e","20190305T04:57:36.559+0000","673f2749-35b5-4b29-9bb4-f46b5e86836d","f883b4d2-a9e2-42c4-b284-86d51f37536e","","","","","","","","","","","","","","",""
