"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37462001","cornuta","Aesopia cornuta Kaup, 1858","SOLEIDAE","Aesopia","","cornuta","","Valid Name","","Species","","Kaup","1858","Y","e3fbaa8b-2b3e-4406-a6a3-5a5b70c7aa9c","20150707T07:07:20.398+0000","88851e9c-bc9c-4a5c-81c3-e4b1e1f87047","20150707T22:49:59.218+0000","5b465af6-811b-4bc7-95d1-f48d67e0170b","88851e9c-bc9c-4a5c-81c3-e4b1e1f87047","","","","","","","","","","","","","","",""
"","37081004","affinis","Aldrovandia affinis (Günther, 1877)","HALOSAURIDAE","Aldrovandia","","affinis","","Valid Name","","Species","","Günther","1877","N","58bbd53b-7237-4069-8c85-13b00d3e64af","20180817T06:14:26.561+0000","552326a0-95a1-439b-b53f-943a3db80904","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","552326a0-95a1-439b-b53f-943a3db80904","","","","","","","","","","","","","","",""
"","37081005","phalacra","Aldrovandia phalacra (Vaillant, 1888)","HALOSAURIDAE","Aldrovandia","","phalacra","","Valid Name","","Species","","Vaillant","1888","N","253c6578-4707-4a3c-a69c-c99661bd4e47","20180802T07:37:39.659+0000","8d85b3ba-1bf3-4b56-a386-e0853536273a","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","8d85b3ba-1bf3-4b56-a386-e0853536273a","","","","","","","","","","","","","","",""
"","37128001","ferox","Alepisaurus ferox Lowe, 1833","ALEPISAURIDAE","Alepisaurus","","ferox","","Valid Name","","Species","","Lowe","1833","Y","1781c4e2-3841-46ff-bbe2-5b028ca6f2b1","20160714T09:38:53.984+0000","09365590-119f-4aa6-b550-95b349002236","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","09365590-119f-4aa6-b550-95b349002236","","","","","","","","","","","","","","",""
"","37114003","bicolor","Alepocephalus bicolor Alcock, 1891","ALEPOCEPHALIDAE","Alepocephalus","","bicolor","","Valid Name","","Species","","Alcock","1891","Y","19aa8047-9e0f-40de-916b-3761b7c1f5a2","20160523T00:06:44.378+0000","5d293045-2c4c-4242-84b5-7a15e2430c7b","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","5d293045-2c4c-4242-84b5-7a15e2430c7b","","","","","","","","","","","","","","",""
"","37114042","owstoni","Alepocephalus owstoni Tanaka, 1908","ALEPOCEPHALIDAE","Alepocephalus","","owstoni","","Valid Name","","Species","","Tanaka","1908","Y","50347cfc-4bbf-4edc-b25e-e371e770c610","20160523T00:06:44.378+0000","b0fb530a-492c-4d0c-9667-b3eae23b215a","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","b0fb530a-492c-4d0c-9667-b3eae23b215a","","","","","","","","","","","","","","",""
"","37114045","triangularis","Alepocephalus triangularis Okamura & Kawanishi, 1984","ALEPOCEPHALIDAE","Alepocephalus","","triangularis","","Valid Name","","Species","","Okamura & Kawanishi","1984","Y","38a5f573-e4c3-4091-87e1-d3cade153cb3","20160523T00:06:44.378+0000","8497bb9a-2003-412e-8b14-7ceeedac17c5","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","8497bb9a-2003-412e-8b14-7ceeedac17c5","","","","","","","","","","","","","","",""
"","37266004","verrucosus","Allocyttus verrucosus (Gilchrist, 1906)","OREOSOMATIDAE","Allocyttus","","verrucosus","","Valid Name","","Species","","Gilchrist","1906","N","da0be7c0-a567-4132-a813-927fba8bf05a","20130506T02:36:46.275+0000","d1e7ccac-e0a8-461d-83b1-181b61e63e83","20130506T04:26:12.282+0000","daf66381-5fc6-4909-b492-fb0ca43cda4d","d1e7ccac-e0a8-461d-83b1-181b61e63e83","","","","","","","","","","","","","","",""
"","37012003","pelagicus","Alopias pelagicus Nakamura, 1935","ALOPIIDAE","Alopias","","pelagicus","","Valid Name","","Species","","Nakamura","1935","Y","e335c803-0864-4f90-83aa-fde77fd456cc","20140313T03:41:28.159+0000","50d7d38a-8c36-4b72-8ab7-9bfeedbfcc65","20140313T03:41:28.159+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","50d7d38a-8c36-4b72-8ab7-9bfeedbfcc65","","","","","","","","","","","","","","",""
