"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37128002","brevirostris","Alepisaurus brevirostris Gibbs, 1960","ALEPISAURIDAE","Alepisaurus","","brevirostris","","Valid Name","","Species","","Gibbs","1960","Y","73951e7d-fc8d-4c04-9d41-f68bea2a25ca","20160714T09:40:11.965+0000","a61e7f4d-da07-4285-9cde-ef788887dd26","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","a61e7f4d-da07-4285-9cde-ef788887dd26","","","","","","","","","","","","","","",""
"","37128001","ferox","Alepisaurus ferox Lowe, 1833","ALEPISAURIDAE","Alepisaurus","","ferox","","Valid Name","","Species","","Lowe","1833","Y","1781c4e2-3841-46ff-bbe2-5b028ca6f2b1","20160714T09:38:53.984+0000","09365590-119f-4aa6-b550-95b349002236","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","09365590-119f-4aa6-b550-95b349002236","","","","","","","","","","","","","","",""
"","37114013","antipodianus","Alepocephalus antipodianus (Parrott, 1948)","ALEPOCEPHALIDAE","Alepocephalus","","antipodianus","","Valid Name","","Species","","Parrott","1948","N","6692c14e-75ec-479b-84b5-e08d3373a640","20160523T00:06:44.378+0000","d2371ffd-1505-4089-861c-0ab6f362e397","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","d2371ffd-1505-4089-861c-0ab6f362e397","","","","","","","","","","","","","","",""
"","37114014","australis","Alepocephalus australis Barnard, 1923","ALEPOCEPHALIDAE","Alepocephalus","","australis","","Valid Name","","Species","","Barnard","1923","Y","3c42e07f-40bc-4737-b21c-44292a03c2d9","20160523T00:06:44.378+0000","85beb4fd-e7cb-451b-8bf2-c177ec90dc7a","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","85beb4fd-e7cb-451b-8bf2-c177ec90dc7a","","","","","","","","","","","","","","",""
"","37266005","niger","Allocyttus niger James, Inada & Nakamura, 1988","OREOSOMATIDAE","Allocyttus","","niger","","Valid Name","","Species","","James, Inada & Nakamura","1988","Y","73db9916-ca92-4e1d-8f56-89b7fb6ff0ad","20130506T02:30:44.292+0000","e236a681-02d9-44c9-86e1-0767da558bb9","20130506T04:26:12.282+0000","daf66381-5fc6-4909-b492-fb0ca43cda4d","e236a681-02d9-44c9-86e1-0767da558bb9","","","","","","","","","","","","","","",""
"","37266004","verrucosus","Allocyttus verrucosus (Gilchrist, 1906)","OREOSOMATIDAE","Allocyttus","","verrucosus","","Valid Name","","Species","","Gilchrist","1906","N","da0be7c0-a567-4132-a813-927fba8bf05a","20130506T02:36:46.275+0000","d1e7ccac-e0a8-461d-83b1-181b61e63e83","20130506T04:26:12.282+0000","daf66381-5fc6-4909-b492-fb0ca43cda4d","d1e7ccac-e0a8-461d-83b1-181b61e63e83","","","","","","","","","","","","","","",""
"","37469002","pilatus","Allomycterus pilatus Whitley, 1931","DIODONTIDAE","Allomycterus","","pilatus","","Valid Name","","Species","","Whitley","1931","Y","43a50cba-4e53-4ddf-ada6-0e31937fa391","20140428T04:53:16.496+0000","4fb636e7-7324-409d-87d7-2026bf5ef799","20140429T04:00:17.360+0000","4f480557-76af-4768-a972-8a1186c6ea3f","4fb636e7-7324-409d-87d7-2026bf5ef799","","","","","","","","","","","","","","",""
"","37441021","fallai","Allothunnus fallai Serventy, 1948","SCOMBRIDAE","Allothunnus","","fallai","","Valid Name","","Species","","Serventy","1948","Y","528df680-171a-4da9-9b5e-c70ad0ff196c","20131008T23:07:52.756+0000","b1939182-d281-48e0-a5db-dc37623da2df","20131008T23:07:52.756+0000","590891d0-552c-4342-b96b-3a398fa7b194","b1939182-d281-48e0-a5db-dc37623da2df","","","","","","","","","","","","","","",""
"","37012002","superciliosus","Alopias superciliosus Lowe, 1841","ALOPIIDAE","Alopias","","superciliosus","","Valid Name","","Species","","Lowe","1841","Y","2e134528-d77f-477a-8b99-3661d9f6d03c","20140313T03:41:28.159+0000","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","20150715T22:47:32.147+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","","","","","","","","","","","","","","",""
"","37012001","vulpinus","Alopias vulpinus (Bonnaterre, 1788)","ALOPIIDAE","Alopias","","vulpinus","","Valid Name","","Species","","Bonnaterre","1788","N","e088abbe-5344-4bb1-9500-854a2b069396","20140313T03:41:28.159+0000","e753f025-b2d6-4372-8c6e-390afc730821","20140313T03:41:28.159+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","e753f025-b2d6-4372-8c6e-390afc730821","","","","","","","","","","","","","","",""
"","37257001","cornuta","Anoplogaster cornuta (Valenciennes, 1833)","ANOPLOGASTRIDAE","Anoplogaster","","cornuta","","Valid Name","","Species","","Valenciennes","1833","N","5a8678a2-1a3f-4874-98c6-07fbabef20fc","20160520T07:15:08.678+0000","732817fa-bd1e-4933-b86d-5256b5185c65","20160606T05:15:12.352+0000","8928ee4e-8dcb-482b-ab38-9e63bd753497","732817fa-bd1e-4933-b86d-5256b5185c65","","","","","","","","","","","","","","",""
"","37224008","rostrata","Antimora rostrata (Günther, 1878)","MORIDAE","Antimora","","rostrata","","Valid Name","","Species","","Günther","1878","N","c4e8dcdf-32f4-454a-953f-dc8891461f56","20151111T08:00:52.407+0000","3b11681e-237c-45bf-a7e2-8f32ddbc1503","20151125T23:15:40.328+0000","0c8418fc-1a0c-4f3b-a455-c46975a1e636","3b11681e-237c-45bf-a7e2-8f32ddbc1503","","","","","","","","","","","","","","",""
"","37015016","melanoasper","Apristurus melanoasper Iglésias, Nakaya & Stehmann, 2004","SCYLIORHINIDAE","Apristurus","","melanoasper","","Valid Name","","Species","","Iglésias, Nakaya & Stehmann","2004","Y","0183230b-1e70-468a-ab0e-39a4f34a1bea","20110218T01:51:42.612+0000","521cce3a-1d1a-4d3f-9aef-30235d818b10","20120416T05:24:25.862+0000","f4aaa359-8018-40aa-a9fd-615162870343","521cce3a-1d1a-4d3f-9aef-30235d818b10","","","","","","","","","","","","","","",""
"","37097001","australiae","Argentina australiae Cohen, 1958","ARGENTINIDAE","Argentina","","australiae","","Valid Name","","Species","","Cohen","1958","Y","b564a817-6afc-4d35-b609-8dd2bf30b99c","20160523T00:06:44.378+0000","bdff8205-c5ab-493c-93aa-56de7f7fda4a","20160606T05:32:28.811+0000","9576d0f3-d6f5-4110-89ab-ff0ee5f74310","bdff8205-c5ab-493c-93aa-56de7f7fda4a","","","","","","","","","","","","","","",""
"","37107004","iridescens","Argyripnus iridescens McCulloch, 1926","STERNOPTYCHIDAE","Argyripnus","","iridescens","","Valid Name","","Species","","McCulloch","1926","Y","b14486db-3106-49ae-9982-e049297ef9ce","20081009T05:11:37.000+0000","2097442a-ccb7-4597-b29e-b2ff4a6cdb3c","20100727T00:03:17.157+0000","20911fac-9f95-474a-b349-bc466288395e","2097442a-ccb7-4597-b29e-b2ff4a6cdb3c","","","","","","","","","","","","","","",""
"","37107005","gigas","Argyropelecus gigas Norman, 1930","STERNOPTYCHIDAE","Argyropelecus","","gigas","","Valid Name","","Species","","Norman","1930","Y","e2a54380-d4de-4831-90d3-48975db54a2a","20081009T05:11:37.000+0000","67d45c21-cd08-408b-b657-4caa9fe0d544","20100727T00:03:17.157+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","67d45c21-cd08-408b-b657-4caa9fe0d544","","","","","","","","","","","","","","",""
"","37107006","hemigymnus","Argyropelecus hemigymnus Cocco, 1829","STERNOPTYCHIDAE","Argyropelecus","","hemigymnus","","Valid Name","","Species","","Cocco","1829","Y","4ea62db6-31fc-4f77-bf8d-60ba4a45d68c","20081009T05:11:37.000+0000","8e617735-3764-42a3-be66-9ae9be844634","20100727T00:03:17.157+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","8e617735-3764-42a3-be66-9ae9be844634","","","","","","","","","","","","","","",""
