"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37465001","brownii","Acanthaluteres brownii (Richardson, 1846)","MONACANTHIDAE","Acanthaluteres","","brownii","","Valid Name","","Species","","Richardson","1846","N","e229e96b-b53a-4676-a124-129735c154c4","20140428T04:53:16.496+0000","6e214b36-2195-4548-b2a7-6a5a608cf4bf","20140430T06:25:13.142+0000","21c9813a-ef4e-4102-9222-83a860531714","6e214b36-2195-4548-b2a7-6a5a608cf4bf","","","","","","","","","","","","","","",""
"","37465043","spilomelanurus","Acanthaluteres spilomelanurus (Quoy & Gaimard, 1824)","MONACANTHIDAE","Acanthaluteres","","spilomelanurus","","Valid Name","","Species","","Quoy & Gaimard","1824","N","5fe7b5bb-38de-4104-8232-a3ec5e8d95f5","20140428T04:53:16.496+0000","c7c1ea56-e5e3-4609-b6e3-28f68aee57ea","20140429T04:00:17.360+0000","21c9813a-ef4e-4102-9222-83a860531714","c7c1ea56-e5e3-4609-b6e3-28f68aee57ea","","","","","","","","","","","","","","",""
"","37465002","vittiger","Acanthaluteres vittiger (Castelnau, 1873)","MONACANTHIDAE","Acanthaluteres","","vittiger","","Valid Name","","Species","","Castelnau","1873","N","20e38a3f-eca4-4b3b-bd15-a58db02a71ba","20140428T04:53:16.496+0000","3999aa04-dda5-4ec7-888b-e8186d6c28e6","20140429T04:00:17.360+0000","21c9813a-ef4e-4102-9222-83a860531714","3999aa04-dda5-4ec7-888b-e8186d6c28e6","","","","","","","","","","","","","","",""
"","37311132","pardalotus","Acanthistius pardalotus Hutchins, 1981","SERRANIDAE","Acanthistius","","pardalotus","","Valid Name","","Species","","Hutchins","1981","Y","72b9a2ec-c248-45c9-953f-58d35c7422f2","20120107T07:47:32.547+0000","49580353-00ff-4c30-bd22-e1f906091055","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","49580353-00ff-4c30-bd22-e1f906091055","","","","","","","","","","","","","","",""
"","37311035","serratus","Acanthistius serratus (Cuvier, 1828)","SERRANIDAE","Acanthistius","","serratus","","Valid Name","","Species","","Cuvier","1828","N","9e790d3c-e771-4380-afb5-cf839af2ec24","20120107T07:46:18.650+0000","3e5fd618-fa6c-4855-9501-e6abbc8f3207","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","3e5fd618-fa6c-4855-9501-e6abbc8f3207","","","","","","","","","","","","","","",""
"","37353003","butcheri","Acanthopagrus butcheri (Munro, 1949)","SPARIDAE","Acanthopagrus","","butcheri","","Valid Name","","Species","","Munro","1949","N","e7410c6b-df3b-42ea-a45e-8114e5b0ebe7","20140220T04:58:35.794+0000","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","20141217T21:37:29.190+0000","4b7586dd-d293-4dc5-a5d8-de6ee8aa36da","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
"","37437019","triostegus","Acanthurus triostegus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","triostegus","","Valid Name","","Species","","Linnaeus","1758","N","ebcbf5dd-11e6-404b-9a29-980f2573f8bc","20131008T23:07:52.756+0000","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","","","","","","","","","","","","","","",""
"","37428361","pflaumii","Acentrogobius pflaumii (Bleeker, 1853)","GOBIIDAE","Acentrogobius","","pflaumii","","Valid Name","","Species","","Bleeker","1853","N","83e6c61e-2576-4657-b247-ad84f31e8d26","20170712T06:22:10.270+0000","a0d66cf6-cb62-4dde-b0d3-769c5a028351","20181203T23:02:24.999+0000","2d8a2579-8670-4bb5-ac1b-cc254eaa5b54","a0d66cf6-cb62-4dde-b0d3-769c5a028351","","","","","","","","","","","","","","",""
"","37384002","gouldii","Achoerodus gouldii (Richardson, 1843)","LABRIDAE","Achoerodus","","gouldii","","Valid Name","","Species","","Richardson","1843","N","7dbc30af-1fbb-4a55-8b10-5e61eedfb030","20170610T06:48:42.042+0000","84f7b43a-46a7-4db3-97b6-ef966dc4f0c4","20170727T04:09:21.978+0000","98d94d1b-ca1b-44e6-88a7-9043bb6d6978","84f7b43a-46a7-4db3-97b6-ef966dc4f0c4","","","","","","","","","","","","","","",""
"","37292004","maculatus","Aetapcus maculatus (Günther, 1861)","PATAECIDAE","Aetapcus","","maculatus","","Valid Name","","Species","","Günther","1861","N","256586b4-56c9-4244-8514-ecdfd2eaf661","20150416T13:00:16.274+0000","d7147d66-4341-487d-9294-8694e828c39d","20150505T21:35:04.768+0000","157c77e3-4f83-4fea-a8ca-a5a0c5e2a4a7","d7147d66-4341-487d-9294-8694e828c39d","","","","","","","","","","","","","","",""
"","37428143","suppositus","Afurcagobius suppositus (Sauvage, 1880)","GOBIIDAE","Afurcagobius","","suppositus","","Valid Name","","Species","","Sauvage","1880","N","8bea9c36-05e1-404f-b53d-659ba52868e7","20150610T22:08:14.918+0000","e48934eb-e801-4573-8979-b13d3ce92f77","20181203T23:02:24.999+0000","77a73e82-4df2-4e6c-bb20-d32cdc0e2e66","e48934eb-e801-4573-8979-b13d3ce92f77","","","","","","","","","","","","","","",""
"","37206007","brevis","Alabes brevis Springer & Fraser, 1976","GOBIESOCIDAE","Alabes","","brevis","","Valid Name","","Species","","Springer & Fraser","1976","Y","bc761814-fd70-4905-b866-1b4bd2836f70","20131008T23:07:52.756+0000","443a9867-efe0-4fb7-8720-c9e5437dd17d","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","443a9867-efe0-4fb7-8720-c9e5437dd17d","","","","","","","","","","","","","","",""
"","37206031","elongata","Alabes elongata Hutchins & Morrison, 2004","GOBIESOCIDAE","Alabes","","elongata","","Valid Name","","Species","","Hutchins & Morrison","2004","Y","3e57a405-25c8-4b46-8fbf-27b8dfd35a2a","20131008T23:07:52.756+0000","422e701c-c69c-4d21-a3c2-e1440231c829","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","422e701c-c69c-4d21-a3c2-e1440231c829","","","","","","","","","","","","","","",""
"","37206032","gibbosa","Alabes gibbosa Hutchins & Morrison, 2004","GOBIESOCIDAE","Alabes","","gibbosa","","Valid Name","","Species","","Hutchins & Morrison","2004","Y","fa1b2979-55cd-4548-9f53-5e4a6989a52a","20131008T23:07:52.756+0000","52604cb9-e78e-47e0-a372-6e74d178c9c6","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","52604cb9-e78e-47e0-a372-6e74d178c9c6","","","","","","","","","","","","","","",""
"","37206009","hoesei","Alabes hoesei Springer & Fraser, 1976","GOBIESOCIDAE","Alabes","","hoesei","","Valid Name","","Species","","Springer & Fraser","1976","Y","445ea142-78b6-4a50-bd06-0170c9967f12","20131008T23:07:52.756+0000","a7a9e56e-9f35-4272-8657-216aed2c8f0a","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","a7a9e56e-9f35-4272-8657-216aed2c8f0a","","","","","","","","","","","","","","",""
"","37206033","obtusirostris","Alabes obtusirostris Hutchins & Morrison, 2004","GOBIESOCIDAE","Alabes","","obtusirostris","","Valid Name","","Species","","Hutchins & Morrison","2004","Y","42951952-482f-4f42-a3fd-14b292e9fbc1","20131008T23:07:52.756+0000","be5fc306-2363-4fad-9f8b-fe0650278bd3","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","be5fc306-2363-4fad-9f8b-fe0650278bd3","","","","","","","","","","","","","","",""
