"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37465001","brownii","Acanthaluteres brownii (Richardson, 1846)","MONACANTHIDAE","Acanthaluteres","","brownii","","Valid Name","","Species","","Richardson","1846","N","e229e96b-b53a-4676-a124-129735c154c4","20140428T04:53:16.496+0000","6e214b36-2195-4548-b2a7-6a5a608cf4bf","20140430T06:25:13.142+0000","21c9813a-ef4e-4102-9222-83a860531714","6e214b36-2195-4548-b2a7-6a5a608cf4bf","","","","","","","","","","","","","","",""
"","37465043","spilomelanurus","Acanthaluteres spilomelanurus (Quoy & Gaimard, 1824)","MONACANTHIDAE","Acanthaluteres","","spilomelanurus","","Valid Name","","Species","","Quoy & Gaimard","1824","N","5fe7b5bb-38de-4104-8232-a3ec5e8d95f5","20140428T04:53:16.496+0000","c7c1ea56-e5e3-4609-b6e3-28f68aee57ea","20140429T04:00:17.360+0000","21c9813a-ef4e-4102-9222-83a860531714","c7c1ea56-e5e3-4609-b6e3-28f68aee57ea","","","","","","","","","","","","","","",""
"","37465002","vittiger","Acanthaluteres vittiger (Castelnau, 1873)","MONACANTHIDAE","Acanthaluteres","","vittiger","","Valid Name","","Species","","Castelnau","1873","N","20e38a3f-eca4-4b3b-bd15-a58db02a71ba","20140428T04:53:16.496+0000","3999aa04-dda5-4ec7-888b-e8186d6c28e6","20140429T04:00:17.360+0000","21c9813a-ef4e-4102-9222-83a860531714","3999aa04-dda5-4ec7-888b-e8186d6c28e6","","","","","","","","","","","","","","",""
"","37353003","butcheri","Acanthopagrus butcheri (Munro, 1949)","SPARIDAE","Acanthopagrus","","butcheri","","Valid Name","","Species","","Munro","1949","N","e7410c6b-df3b-42ea-a45e-8114e5b0ebe7","20140220T04:58:35.794+0000","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","20141217T21:37:29.190+0000","4b7586dd-d293-4dc5-a5d8-de6ee8aa36da","18ce1fc8-3045-4136-8a45-f5c94d2ef96f","","","","","","","","","","","","","","",""
"","37384002","gouldii","Achoerodus gouldii (Richardson, 1843)","LABRIDAE","Achoerodus","","gouldii","","Valid Name","","Species","","Richardson","1843","N","7dbc30af-1fbb-4a55-8b10-5e61eedfb030","20170610T06:48:42.042+0000","84f7b43a-46a7-4db3-97b6-ef966dc4f0c4","20170727T04:09:21.978+0000","98d94d1b-ca1b-44e6-88a7-9043bb6d6978","84f7b43a-46a7-4db3-97b6-ef966dc4f0c4","","","","","","","","","","","","","","",""
"","37292004","maculatus","Aetapcus maculatus (Günther, 1861)","PATAECIDAE","Aetapcus","","maculatus","","Valid Name","","Species","","Günther","1861","N","256586b4-56c9-4244-8514-ecdfd2eaf661","20150416T13:00:16.274+0000","d7147d66-4341-487d-9294-8694e828c39d","20150505T21:35:04.768+0000","157c77e3-4f83-4fea-a8ca-a5a0c5e2a4a7","d7147d66-4341-487d-9294-8694e828c39d","","","","","","","","","","","","","","",""
"","37428004","tamarensis","Afurcagobius tamarensis (Johnston, 1883)","GOBIIDAE","Afurcagobius","","tamarensis","","Valid Name","","Species","","Johnston","1883","N","56aff178-fb50-461b-b38d-02281dd8d446","20170713T05:29:05.705+0000","1f71a2e0-511c-4c9d-88c6-b9ad54aea103","20181203T23:02:24.999+0000","77a73e82-4df2-4e6c-bb20-d32cdc0e2e66","1f71a2e0-511c-4c9d-88c6-b9ad54aea103","","","","","","","","","","","","","","",""
"","37206008","dorsalis","Alabes dorsalis (Richardson, 1845)","GOBIESOCIDAE","Alabes","","dorsalis","","Valid Name","","Species","","Richardson","1845","N","48a63b87-3d41-4436-aa3a-cfb3de7bbcf5","20131008T23:07:52.756+0000","2dfe54cf-04f1-4965-a595-e692960b9635","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","2dfe54cf-04f1-4965-a595-e692960b9635","","","","","","","","","","","","","","",""
"","37206009","hoesei","Alabes hoesei Springer & Fraser, 1976","GOBIESOCIDAE","Alabes","","hoesei","","Valid Name","","Species","","Springer & Fraser","1976","Y","445ea142-78b6-4a50-bd06-0170c9967f12","20131008T23:07:52.756+0000","a7a9e56e-9f35-4272-8657-216aed2c8f0a","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","a7a9e56e-9f35-4272-8657-216aed2c8f0a","","","","","","","","","","","","","","",""
"","37206010","parvula","Alabes parvula (McCulloch, 1909)","GOBIESOCIDAE","Alabes","","parvula","","Valid Name","","Species","","McCulloch","1909","N","3ef01591-12bb-4fde-91bd-a0027709a222","20131008T23:07:52.756+0000","c6463cac-48e8-48f0-b744-c0794c18c6fe","20190521T05:24:31.422+0000","fa3d1c20-9604-4497-9241-36c36ced8727","c6463cac-48e8-48f0-b744-c0794c18c6fe","","","","","","","","","","","","","","",""
"","37381001","forsteri","Aldrichetta forsteri (Valenciennes, 1836)","MUGILIDAE","Aldrichetta","","forsteri","","Valid Name","","Species","","Valenciennes","1836","N","8976258d-a582-4872-8198-5e5bc17d8a6d","20131012T05:27:03.625+0000","8a981792-0498-4137-aba0-bbce748c8fbd","20150412T22:45:29.442+0000","f1e437aa-2719-471d-886e-16e1a4b1333e","8a981792-0498-4137-aba0-bbce748c8fbd","","","","","","","","","","","","","","",""
"","37210004","glauerti","Allenichthys glauerti (Whitley, 1944)","ANTENNARIIDAE","Allenichthys","","glauerti","","Valid Name","","Species","","Whitley","1944","N","7a9a46bb-b5ea-4228-a589-c1e618cb4a3c","20150427T14:04:05.496+0000","cf768a7f-5d89-4632-947b-76013a6b5a38","20150625T00:28:50.961+0000","1694a78a-4ca0-46bd-aae9-def1f684ef1c","cf768a7f-5d89-4632-947b-76013a6b5a38","","","","","","","","","","","","","","",""
"","37469002","pilatus","Allomycterus pilatus Whitley, 1931","DIODONTIDAE","Allomycterus","","pilatus","","Valid Name","","Species","","Whitley","1931","Y","43a50cba-4e53-4ddf-ada6-0e31937fa391","20140428T04:53:16.496+0000","4fb636e7-7324-409d-87d7-2026bf5ef799","20140429T04:00:17.360+0000","4f480557-76af-4768-a972-8a1186c6ea3f","4fb636e7-7324-409d-87d7-2026bf5ef799","","","","","","","","","","","","","","",""
"","37441021","fallai","Allothunnus fallai Serventy, 1948","SCOMBRIDAE","Allothunnus","","fallai","","Valid Name","","Species","","Serventy","1948","Y","528df680-171a-4da9-9b5e-c70ad0ff196c","20131008T23:07:52.756+0000","b1939182-d281-48e0-a5db-dc37623da2df","20131008T23:07:52.756+0000","590891d0-552c-4342-b96b-3a398fa7b194","b1939182-d281-48e0-a5db-dc37623da2df","","","","","","","","","","","","","","",""
"","37461016","brevipinnis","Ammotretis brevipinnis Norman, 1926","PLEURONECTIDAE","Ammotretis","","brevipinnis","","Valid Name","","Species","","Norman","1926","Y","36e78520-e091-442b-9206-89aed3a6e0d4","20150520T09:15:48.786+0000","dcfbde22-86d8-4c9c-a397-2d0b014c546b","20150707T22:49:59.218+0000","b741082f-2dea-4e9d-b49e-0c1e16bd6dc6","dcfbde22-86d8-4c9c-a397-2d0b014c546b","","","","","","","","","","","","","","",""
"","37461007","elongatus","Ammotretis elongatus McCulloch, 1914","PLEURONECTIDAE","Ammotretis","","elongatus","","Valid Name","","Species","","McCulloch","1914","Y","fc974e98-d00c-44ec-aeab-3c8386d6571a","20150622T07:15:53.009+0000","cc198a4b-cc3b-42c5-ac6e-58517113f797","20150707T22:49:59.218+0000","b741082f-2dea-4e9d-b49e-0c1e16bd6dc6","cc198a4b-cc3b-42c5-ac6e-58517113f797","","","","","","","","","","","","","","",""
"","37461004","lituratus","Ammotretis lituratus (Richardson, 1844)","PLEURONECTIDAE","Ammotretis","","lituratus","","Valid Name","","Species","","Richardson","1844","N","1e818173-adbd-45c3-be49-54b74c904d52","20150622T07:34:36.914+0000","212325cb-3b6b-47e4-a22d-c7caf2e8a3ea","20150707T22:49:59.218+0000","b741082f-2dea-4e9d-b49e-0c1e16bd6dc6","212325cb-3b6b-47e4-a22d-c7caf2e8a3ea","","","","","","","","","","","","","","",""
