"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37465089","filamentosus","Abalistes filamentosus Matsuura & Yoshino, 2004","BALISTIDAE","Abalistes","","filamentosus","","Valid Name","","Species","","Matsuura & Yoshino","2004","Y","ab6677d2-05e0-4578-b16e-3230f0ba3166","20140428T04:53:16.496+0000","fc2cae3f-1e9d-40b8-8660-03c6a44eb4ac","20140429T04:00:17.360+0000","8c6c0483-c9c9-4896-9aa1-0cd631cc064f","fc2cae3f-1e9d-40b8-8660-03c6a44eb4ac","","","","","","","","","","","","","","",""
"","37380004","limbata","Acanthocepola limbata (Valenciennes, 1835)","CEPOLIDAE","Acanthocepola","","limbata","","Valid Name","","Species","","Valenciennes","1835","N","dc05425b-542d-41a2-8a3d-d0292575fe46","20161110T22:15:23.343+0000","924071b5-9288-4045-89c9-0c3d7b60cded","20161222T00:33:01.163+0000","6e703d2e-ff9f-4882-9236-f94ff177730b","924071b5-9288-4045-89c9-0c3d7b60cded","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37311167","japonicum","Acropoma japonicum Günther, 1859","ACROPOMATIDAE","Acropoma","","japonicum","","Valid Name","","Species","","Günther","1859","Y","8e40b04c-1cc2-48bb-b0c5-2c6d647c1db0","20180601T06:00:07.057+0000","91e18a1c-3487-4479-892c-e297f0673dc1","20190201T00:12:16.832+0000","fba50b75-8a77-459c-a088-3f909e9f39ba","91e18a1c-3487-4479-892c-e297f0673dc1","","","","","","","","","","","","","","",""
"","37039003","ocellatus","Aetobatus ocellatus (Kuhl, 1823)","MYLIOBATIDAE","Aetobatus","","ocellatus","","Valid Name","","Species","","Kuhl","1823","N","f2a2fd72-f13c-4900-a55a-dd468db33abd","20120413T06:48:55.265+0000","736f18f4-ec13-4bc4-861b-39a4f0731f41","20131122T01:37:52.383+0000","38d04ae5-d3f0-4da7-ab41-692fdea73e7e","736f18f4-ec13-4bc4-861b-39a4f0731f41","","","","","","","","","","","","","","",""
"","37337010","apercna","Alepes apercna Grant, 1987","CARANGIDAE","Alepes","","apercna","","Valid Name","","Species","","Grant","1987","Y","e72eb65a-2f60-40d2-b4a8-de1ebf255405","20110714T03:03:49.234+0000","8be61fec-bae9-4ef8-8b6f-14a63aec1836","20121213T07:07:48.331+0000","962fdb56-4a51-44cc-8720-83108e77230f","8be61fec-bae9-4ef8-8b6f-14a63aec1836","","","","","","","","","","","","","","",""
"","37337036","kleinii","Alepes kleinii (Bloch, 1793)","CARANGIDAE","Alepes","","kleinii","","Valid Name","","Species","","Bloch","1793","N","1aafc0a3-f8a1-4c44-abda-580d591454f0","20120114T06:03:22.127+0000","faafe613-b780-4a9d-a9e3-afea0cbf3b9c","20131025T03:47:29.134+0000","962fdb56-4a51-44cc-8720-83108e77230f","faafe613-b780-4a9d-a9e3-afea0cbf3b9c","","","","","","","","","","","","","","",""
"","37068045","concolor","Allips concolor McCosker, 1972","OPHICHTHIDAE","Allips","","concolor","","Valid Name","","Species","","McCosker","1972","Y","92fd46e7-9313-458d-bb27-b927cd3275af","20180704T03:05:58.465+0000","702602ff-0a16-4b2e-9fef-a3a88fc9e1ac","20190305T04:57:36.559+0000","23ced970-d118-4193-94f3-4276a53b058f","702602ff-0a16-4b2e-9fef-a3a88fc9e1ac","","","","","","","","","","","","","","",""
"","37085006","sirm","Amblygaster sirm (Walbaum, 1792)","CLUPEIDAE","Amblygaster","","sirm","","Valid Name","","Species","","Walbaum","1792","N","c2b1aaea-e2dc-4a6e-ba3f-fea5276ee7be","20081009T05:11:37.000+0000","ada5bf20-6fc5-4c5b-b1f3-7e914e4a45f8","20140804T06:08:33.666+0000","93858ecc-04d2-401d-977d-d8708cf1c989","ada5bf20-6fc5-4c5b-b1f3-7e914e4a45f8","","","","","","","","","","","","","","",""
"","37428051","arctocephalus","Amblyotrypauchen arctocephalus (Alcock, 1890)","GOBIIDAE","Amblyotrypauchen","","arctocephalus","","Valid Name","","Species","","Alcock","1890","N","c314f5e2-4180-46b2-870b-a5034b45d986","20150610T22:08:14.918+0000","07621f49-2f00-45f3-aa03-91c784d2446b","20181203T23:02:24.999+0000","eb7484f2-e3bb-4ce3-b24c-1566f9ffe203","07621f49-2f00-45f3-aa03-91c784d2446b","","","","","","","","","","","","","","",""
"","37188004","hainesi","Amissidens hainesi (Kailola, 2000)","ARIIDAE","Amissidens","","hainesi","","Valid Name","","Species","","Kailola","2000","N","3b01d9b8-783c-4022-8e01-ebdcab3eb5f0","20130803T22:42:44.659+0000","ba2d9a42-bbce-4e2e-8265-aa9fe99b222c","20130912T05:06:45.254+0000","48b57dc2-5d38-45fd-ad0c-e2dcdfb5b30b","ba2d9a42-bbce-4e2e-8265-aa9fe99b222c","","","","","","","","","","","","","","",""
"","37085015","chacunda","Anodontostoma chacunda (Hamilton, 1822)","CLUPEIDAE","Anodontostoma","","chacunda","","Valid Name","","Species","","Hamilton","1822","N","35a1d9ca-11c7-4205-9ca1-f105e4d404a2","20081009T05:11:37.000+0000","a4fd2055-77a0-4dbc-97cf-53c818d0b981","20100726T23:56:15.118+0000","104c19a8-c88e-458f-bc59-431161bafceb","a4fd2055-77a0-4dbc-97cf-53c818d0b981","","","","","","","","","","","","","","",""
"","37025002","cuspidata","Anoxypristis cuspidata (Latham, 1794)","PRISTIDAE","Anoxypristis","","cuspidata","","Valid Name","","Species","","Latham","1794","N","2343d73e-34be-4df9-b509-9c04ff2e992c","20120412T00:20:51.216+0000","217e7a38-8617-4381-968c-da760ca13b96","20120416T05:24:25.862+0000","c3576ad3-6d71-4459-9286-9f0b6fa5d430","217e7a38-8617-4381-968c-da760ca13b96","","","","","","","","","","","","","","",""
"","37210008","hispidus","Antennarius hispidus (Bloch & Schneider, 1801)","ANTENNARIIDAE","Antennarius","","hispidus","","Valid Name","","Species","","Bloch & Schneider","1801","N","43150f00-9db9-41a1-9a85-305e818b6969","20150622T01:57:47.873+0000","46292b6b-f9d1-4b9c-9206-ac9b85d8e2dc","20150625T00:28:50.961+0000","86859679-71e5-4025-8a2d-31d5b0e55889","46292b6b-f9d1-4b9c-9206-ac9b85d8e2dc","","","","","","","","","","","","","","",""
"","37210011","nummifer","Antennatus nummifer (Cuvier, 1817)","ANTENNARIIDAE","Antennatus","","nummifer","","Valid Name","","Species","","Cuvier","1817","N","bea15330-2dd4-4946-a253-687aae653528","20150504T06:02:04.620+0000","258b9425-4ba3-49ef-8baf-1c64fb382a63","20150625T00:28:50.961+0000","4f4d559f-f704-4cbe-aaab-036f8920734f","258b9425-4ba3-49ef-8baf-1c64fb382a63","","","","","","","","","","","","","","",""
"","37267003","malayana","Antigonia malayana Weber, 1913","CAPROIDAE","Antigonia","","malayana","","Valid Name","","Species","","Weber","1913","Y","be78c722-e925-4726-9d45-8b3de930ecfa","20130204T07:02:02.556+0000","26abcdbe-de5c-4d5f-a2f4-25a928aaf9e6","20140219T05:34:39.892+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","26abcdbe-de5c-4d5f-a2f4-25a928aaf9e6","","","","","","","","","","","","","","",""
"","37267005","rubescens","Antigonia rubescens (Günther, 1860)","CAPROIDAE","Antigonia","","rubescens","","Valid Name","","Species","","Günther","1860","N","1b3fa954-df15-47cd-b938-7f451be4874a","20130204T07:04:26.434+0000","811aeea7-b5f1-4b51-8bba-5157f5d1dd4f","20130204T22:58:37.831+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","811aeea7-b5f1-4b51-8bba-5157f5d1dd4f","","","","","","","","","","","","","","",""
"","37353006","spinifer","Argyrops spinifer (Forsskål, 1775)","SPARIDAE","Argyrops","","spinifer","","Valid Name","","Species","","Forsskål","1775","N","4feecb95-477a-4640-a086-49f8e8419c15","20140220T04:58:35.794+0000","5d363264-39e5-4295-ade9-060aa00e89ee","20170531T00:56:50.278+0000","213c9be5-df46-4d31-8ec9-e94606897348","5d363264-39e5-4295-ade9-060aa00e89ee","","","","","","","","","","","","","","",""
"","37447007","indicum","Ariomma indicum (Day, 1870)","ARIOMMATIDAE","Ariomma","","indicum","","Valid Name","","Species","","Day","1870","N","ec8d21ce-9df8-4fe7-85de-2a97a4baa3c9","20131008T23:07:52.756+0000","10ddc41c-8e84-4024-bb53-feb994950a6e","20131008T23:07:52.756+0000","5430aa04-9dc9-4a38-9fcc-98ec990b1c93","10ddc41c-8e84-4024-bb53-feb994950a6e","","","","","","","","","","","","","","",""
"","37067035","anagoides","Ariosoma anagoides (Bleeker, 1853)","CONGRIDAE","Ariosoma","","anagoides","","Valid Name","","Species","","Bleeker","1853","N","e1987a6b-11be-415b-847e-34036de68284","20180731T13:29:37.032+0000","f883b4d2-a9e2-42c4-b284-86d51f37536e","20190305T04:57:36.559+0000","673f2749-35b5-4b29-9bb4-f46b5e86836d","f883b4d2-a9e2-42c4-b284-86d51f37536e","","","","","","","","","","","","","","",""
"","37460020","elongatus","Arnoglossus elongatus Weber, 1913","BOTHIDAE","Arnoglossus","","elongatus","","Valid Name","","Species","","Weber","1913","Y","199e70d6-f3e6-4381-89e1-f8d7f3c2ce92","20150608T08:48:38.573+0000","5755c4a1-14c8-4702-8879-27d2cfd6a6b0","20150707T22:49:59.218+0000","4758b1d6-4e41-4366-9d92-17f353e57b66","5755c4a1-14c8-4702-8879-27d2cfd6a6b0","","","","","","","","","","","","","","",""
"","37460034","japonicus","Arnoglossus japonicus Hubbs, 1915","BOTHIDAE","Arnoglossus","","japonicus","","Valid Name","","Species","","Hubbs","1915","Y","67cf52b9-12cd-4694-8295-ebb5a0a88f63","20150608T09:41:41.196+0000","70470b5f-54a6-4dc5-a49d-55f200a8bb21","20150707T22:49:59.218+0000","4758b1d6-4e41-4366-9d92-17f353e57b66","70470b5f-54a6-4dc5-a49d-55f200a8bb21","","","","","","","","","","","","","","",""
"","37460071","polyspilus","Arnoglossus polyspilus (Günther, 1880)","BOTHIDAE","Arnoglossus","","polyspilus","","Valid Name","","Species","","Günther","1880","N","7c6b1c79-4b86-4c9c-907e-b5bcbbf51604","20150609T04:11:01.851+0000","c2c9b511-ee68-40ed-9cfa-6ce2011ea65b","20150707T22:49:59.218+0000","4758b1d6-4e41-4366-9d92-17f353e57b66","c2c9b511-ee68-40ed-9cfa-6ce2011ea65b","","","","","","","","","","","","","","",""
"","37460044","tenuis","Arnoglossus tenuis Günther, 1880","BOTHIDAE","Arnoglossus","","tenuis","","Valid Name","","Species","","Günther","1880","Y","1ecdf9b4-334a-42a1-86a6-3901d5f8020c","20150609T04:59:47.312+0000","8b25cf2b-bbdf-4c39-9307-6c7650ee3541","20150707T22:49:59.218+0000","4758b1d6-4e41-4366-9d92-17f353e57b66","8b25cf2b-bbdf-4c39-9307-6c7650ee3541","","","","","","","","","","","","","","",""
"","37460045","waitei","Arnoglossus waitei Norman, 1926","BOTHIDAE","Arnoglossus","","waitei","","Valid Name","","Species","","Norman","1926","Y","fe50c2d7-8f54-4678-9f78-025ee722e75d","20150609T05:53:10.190+0000","d34741b4-72e6-4944-8ef9-b7d26303e957","20150707T22:49:59.218+0000","4758b1d6-4e41-4366-9d92-17f353e57b66","d34741b4-72e6-4944-8ef9-b7d26303e957","","","","","","","","","","","","","","",""
"","37467027","nigropunctatus","Arothron nigropunctatus (Bloch & Schneider, 1801)","TETRAODONTIDAE","Arothron","","nigropunctatus","","Valid Name","","Species","","Bloch & Schneider","1801","N","8d395c6a-e190-4ac8-9ac1-fd20c68eab78","20140428T04:53:16.496+0000","08b9a1f0-62ae-45ca-9208-e773b00021ed","20140429T04:00:17.360+0000","241e8fed-dc4f-4a88-9adf-01b3760d5df7","08b9a1f0-62ae-45ca-9208-e773b00021ed","","","","","","","","","","","","","","",""
"","37467014","stellatus","Arothron stellatus (Anonymous, 1798)","TETRAODONTIDAE","Arothron","","stellatus","","Valid Name","","Species","","Anonymous","1798","N","c702b592-5346-4068-b018-503384c6be5d","20140428T04:53:16.496+0000","01386834-fede-4543-83b7-e5044742fde1","20140429T04:00:17.360+0000","241e8fed-dc4f-4a88-9adf-01b3760d5df7","01386834-fede-4543-83b7-e5044742fde1","","","","","","","","","","","","","","",""
"","37462002","normani","Aseraggodes normani Chabanaud, 1930","SOLEIDAE","Aseraggodes","","normani","","Valid Name","","Species","","Chabanaud","1930","Y","a849f178-741d-4920-86fc-dfb7f40abe38","20131008T23:07:52.756+0000","308df319-641e-4d58-99a1-0f0c003baac9","20151008T05:19:56.543+0000","a1e26e20-488b-47cf-a4e0-76c1c6af43c8","308df319-641e-4d58-99a1-0f0c003baac9","","","","","","","","","","","","","","",""
"","37460046","intermedius","Asterorhombus intermedius (Bleeker, 1865)","BOTHIDAE","Asterorhombus","","intermedius","","Valid Name","","Species","","Bleeker","1865","N","5e222de6-6707-48f2-8c0c-5bc7ef8dbfc6","20150610T07:03:00.165+0000","052a5e1b-231a-438d-83e6-17643d037754","20151013T01:05:48.424+0000","3e9a3f76-7757-402e-b057-88941530d4a2","052a5e1b-231a-438d-83e6-17643d037754","","","","","","","","","","","","","","",""
"","37136001","japonicus","Ateleopus japonicus Bleeker, 1853","ATELEOPODIDAE","Ateleopus","","japonicus","","Valid Name","","Species","","Bleeker","1853","Y","a93925ab-f978-4a18-8898-cd5925a18cc2","20110422T12:31:10.502+0000","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","20140219T05:50:25.669+0000","03598f5f-feb9-4513-831d-4399f5b17654","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","","","","","","","","","","","","","","",""
"","37354012","brevis","Atrobucca brevis Sasaki & Kailola, 1988","SCIAENIDAE","Atrobucca","","brevis","","Valid Name","","Species","","Sasaki & Kailola","1988","Y","e9a80f5f-4959-44f3-b061-86889fdd6030","20131008T23:07:52.756+0000","de36dc97-cd49-4746-95bc-b8ce7f184639","20131008T23:07:52.756+0000","80c01f49-4a15-49b3-a36f-51fb48c5e4aa","de36dc97-cd49-4746-95bc-b8ce7f184639","","","","","","","","","","","","","","",""
"","37354011","nibe","Atrobucca nibe (Jordan & Thompson, 1911)","SCIAENIDAE","Atrobucca","","nibe","","Valid Name","","Species","","Jordan & Thompson","1911","N","8e099b9b-9d19-4fc5-987b-4d4621b0b2d5","20131008T23:07:52.756+0000","d3ae57fb-5bf7-4c13-a723-c3c3a02fce43","20131008T23:07:52.756+0000","80c01f49-4a15-49b3-a36f-51fb48c5e4aa","d3ae57fb-5bf7-4c13-a723-c3c3a02fce43","","","","","","","","","","","","","","",""
